============ Start of Season ============
1990-11-27 | w: CLE | L: NYK
1990-11-27 | w: NJN | L: PHL
1990-11-27 | w: HOU | L: LAC
1990-11-27 | w: PHX | L: POR
1990-11-27 | w: DET | L: ATL
1990-11-27 | w: MIL | L: IND
1990-11-27 | w: MIN | L: SAC
1990-11-27 | w: DEN | L: ORL
1990-11-27 | w: SAN | L: SEA
1990-11-27 | w: WAS | L: GOS
1990-11-28 | w: DET | L: NYK
1990-11-28 | w: PHL | L: IND
1990-11-28 | w: LAL | L: SAN
1990-11-28 | w: CHI | L: WAS
1990-11-28 | w: GOS | L: CLE
1990-11-28 | w: MIA | L: NJN
1990-11-28 | w: UTH | L: HOU
1990-11-28 | w: DAL | L: LAC
1990-11-28 | w: CHH | L: MIL
1990-11-29 | w: POR | L: MIN
1990-11-29 | w: PHX | L: SEA
1990-11-29 | w: DEN | L: SAC
1990-11-30 | w: CHI | L: IND
1990-11-30 | w: BOS | L: WAS
1990-11-30 | w: GOS | L: ORL
1990-11-30 | w: DET | L: PHL
1990-11-30 | w: UTH | L: MIN
1990-11-30 | w: CLE | L: ATL
1990-11-30 | w: MIL | L: NYK
1990-12-01 | w: NYK | L: CHH
1990-12-01 | w: WAS | L: DET
1990-12-01 | w: HOU | L: SAC
1990-12-01 | w: LAL | L: PHX
1990-12-01 | w: CHI | L: CLE
1990-12-01 | w: SAN | L: DAL
1990-12-01 | w: LAC | L: DEN
1990-12-01 | w: NJN | L: ORL
1990-12-01 | w: GOS | L: MIA
1990-12-01 | w: POR | L: SEA
1990-12-01 | w: PHL | L: BOS
1990-12-02 | w: LAC | L: MIN
1990-12-02 | w: POR | L: UTH
1990-12-02 | w: IND | L: MIL
1990-12-03 | w: BOS | L: SEA
1990-12-03 | w: UTH | L: WAS
1990-12-04 | w: PHL | L: MIL
1990-12-04 | w: LAL | L: DET
1990-12-04 | w: CHI | L: PHX
1990-12-04 | w: ORL | L: NYK
1990-12-04 | w: NJN | L: SEA
1990-12-04 | w: CLE | L: DEN
1990-12-04 | w: ATL | L: HOU
1990-12-04 | w: POR | L: MIA
1990-12-04 | w: SAC | L: DAL
1990-12-04 | w: MIN | L: IND
1990-12-05 | w: WAS | L: GOS
1990-12-05 | w: ATL | L: SAN
1990-12-05 | w: BOS | L: DEN
1990-12-05 | w: POR | L: ORL
1990-12-05 | w: LAC | L: DAL
1990-12-05 | w: UTH | L: DET
1990-12-05 | w: IND | L: PHX
1990-12-05 | w: MIL | L: CLE
1990-12-06 | w: HOU | L: CHH
1990-12-06 | w: SEA | L: MIA
1990-12-06 | w: SAC | L: WAS
1990-12-06 | w: LAL | L: MIN
1990-12-07 | w: PHL | L: DEN
1990-12-07 | w: GOS | L: DET
1990-12-07 | w: CHI | L: NYK
1990-12-07 | w: PHX | L: NJN
1990-12-07 | w: ORL | L: SEA
1990-12-07 | w: UTH | L: LAL
1990-12-07 | w: MIL | L: ATL
1990-12-07 | w: POR | L: IND
1990-12-07 | w: BOS | L: DAL
1990-12-08 | w: ATL | L: NYK
1990-12-08 | w: POR | L: CHI
1990-12-08 | w: DET | L: SAC
1990-12-08 | w: SAN | L: BOS
1990-12-08 | w: IND | L: CLE
1990-12-08 | w: UTH | L: LAC
1990-12-08 | w: HOU | L: DAL
1990-12-08 | w: DEN | L: CHH
1990-12-08 | w: PHX | L: ORL
1990-12-09 | w: LAL | L: WAS
1990-12-09 | w: MIL | L: SEA
1990-12-10 | w: NJN | L: CHH
1990-12-10 | w: BOS | L: HOU
1990-12-11 | w: NYK | L: MIA
1990-12-11 | w: PHX | L: SAC
1990-12-11 | w: PHL | L: ORL
1990-12-11 | w: SAN | L: DET
1990-12-11 | w: POR | L: IND
1990-12-11 | w: UTH | L: GOS
1990-12-11 | w: MIL | L: CHI
1990-12-11 | w: MIN | L: LAC
1990-12-11 | w: DEN | L: WAS
1990-12-12 | w: HOU | L: PHL
1990-12-12 | w: DAL | L: LAL
1990-12-12 | w: BOS | L: MIL
1990-12-12 | w: LAC | L: CLE
1990-12-12 | w: ATL | L: MIA
1990-12-12 | w: SAN | L: CHH
1990-12-12 | w: SEA | L: IND
1990-12-13 | w: GOS | L: SEA
1990-12-13 | w: PHX | L: ORL
1990-12-13 | w: UTH | L: DEN
1990-12-13 | w: ATL | L: NJN
1990-12-13 | w: SAC | L: POR
1990-12-13 | w: NYK | L: MIN
1990-12-14 | w: PHL | L: MIA
1990-12-14 | w: CHI | L: LAC
1990-12-14 | w: BOS | L: DET
1990-12-14 | w: SAN | L: CLE
1990-12-14 | w: POR | L: DAL
1990-12-14 | w: WAS | L: HOU
1990-12-15 | w: ATL | L: WAS
1990-12-15 | w: LAL | L: GOS
1990-12-15 | w: SEA | L: DAL
1990-12-15 | w: CHI | L: CLE
1990-12-15 | w: MIL | L: LAC
1990-12-15 | w: SAC | L: ORL
1990-12-15 | w: IND | L: UTH
1990-12-15 | w: PHX | L: DEN
1990-12-15 | w: NYK | L: NJN
1990-12-15 | w: HOU | L: CHH
1990-12-15 | w: BOS | L: MIA
1990-12-15 | w: SAN | L: MIN
1990-12-16 | w: LAL | L: IND
1990-12-16 | w: POR | L: ORL
1990-12-17 | w: UTH | L: NJN
1990-12-17 | w: ATL | L: CLE
1990-12-18 | w: PHL | L: LAC
1990-12-18 | w: CHI | L: MIA
1990-12-18 | w: LAL | L: NYK
1990-12-18 | w: SAN | L: HOU
1990-12-18 | w: POR | L: GOS
1990-12-18 | w: MIL | L: DET
1990-12-18 | w: PHX | L: DAL
1990-12-18 | w: SAC | L: MIN
1990-12-18 | w: UTH | L: CHH
1990-12-18 | w: SEA | L: ORL
1990-12-19 | w: SAN | L: DEN
1990-12-19 | w: PHX | L: MIN
1990-12-19 | w: BOS | L: PHL
1990-12-19 | w: NJN | L: LAC
1990-12-19 | w: CLE | L: LAL
1990-12-19 | w: DET | L: CHI
1990-12-19 | w: NYK | L: MIA
1990-12-19 | w: WAS | L: IND
1990-12-20 | w: GOS | L: POR
1990-12-20 | w: HOU | L: ORL
1990-12-20 | w: ATL | L: UTH
1990-12-20 | w: SEA | L: SAC
1990-12-20 | w: BOS | L: CHH
1990-12-21 | w: CHI | L: LAL
1990-12-21 | w: SAN | L: PHX
