============ Start of Season ============
2000-11-22 | w: CLE | L: MIA
2000-11-22 | w: POR | L: MIL
2000-11-22 | w: SAC | L: CHI
2000-11-22 | w: MIN | L: VAN
2000-11-22 | w: PHX | L: NJN
2000-11-22 | w: ATL | L: NYK
2000-11-22 | w: CHH | L: PHI
2000-11-22 | w: BOS | L: HOU
2000-11-23 | w: TOR | L: IND
2000-11-24 | w: IND | L: WAS
2000-11-24 | w: DEN | L: SAS
2000-11-24 | w: UTA | L: NJN
2000-11-24 | w: LAL | L: MIN
2000-11-24 | w: CHH | L: MIL
2000-11-24 | w: SEA | L: LAC
2000-11-24 | w: DET | L: VAN
2000-11-24 | w: PHX | L: GSW
2000-11-24 | w: CLE | L: MIA
2000-11-24 | w: PHI | L: ATL
2000-11-24 | w: BOS | L: ORL
2000-11-25 | w: SAS | L: PHI
2000-11-25 | w: DAL | L: DEN
2000-11-25 | w: TOR | L: NYK
2000-11-25 | w: HOU | L: MIA
2000-11-25 | w: POR | L: NJN
2000-11-25 | w: SAC | L: SEA
2000-11-25 | w: ORL | L: ATL
2000-11-25 | w: CHH | L: CLE
2000-11-25 | w: GSW | L: MIN
2000-11-25 | w: PHX | L: LAC
2000-11-25 | w: WAS | L: MIL
2000-11-26 | w: UTA | L: DET
2000-11-26 | w: TOR | L: CHI
2000-11-26 | w: VAN | L: BOS
2000-11-27 | w: NYK | L: VAN
2000-11-27 | w: MIL | L: ORL
2000-11-27 | w: LAL | L: LAC
2000-11-28 | w: UTA | L: NJN
2000-11-28 | w: SAC | L: HOU
2000-11-28 | w: DAL | L: TOR
2000-11-28 | w: LAL | L: IND
2000-11-28 | w: MIL | L: MIA
2000-11-28 | w: MIN | L: CHI
2000-11-28 | w: SEA | L: POR
2000-11-28 | w: BOS | L: CLE
2000-11-28 | w: ATL | L: WAS
2000-11-29 | w: SAS | L: SAC
2000-11-29 | w: MIA | L: NYK
2000-11-29 | w: PHI | L: WAS
2000-11-29 | w: UTA | L: ORL
2000-11-29 | w: DEN | L: MIN
2000-11-29 | w: DET | L: NJN
2000-11-29 | w: CHH | L: TOR
2000-11-29 | w: VAN | L: PHX
2000-11-29 | w: LAC | L: GSW
2000-11-30 | w: HOU | L: DEN
2000-11-30 | w: POR | L: DAL
2000-11-30 | w: MIL | L: BOS
2000-11-30 | w: SEA | L: LAL
2000-11-30 | w: CHI | L: ATL
2000-11-30 | w: GSW | L: IND
2000-12-01 | w: LAL | L: SAS
2000-12-01 | w: PHI | L: CHH
2000-12-01 | w: UTA | L: MIA
2000-12-01 | w: NYK | L: CHI
2000-12-01 | w: SAC | L: PHX
2000-12-01 | w: ORL | L: NJN
2000-12-01 | w: DET | L: CLE
2000-12-01 | w: TOR | L: LAC
2000-12-01 | w: MIN | L: BOS
2000-12-01 | w: IND | L: VAN
2000-12-02 | w: ORL | L: NJN
2000-12-02 | w: POR | L: HOU
2000-12-02 | w: DEN | L: SEA
2000-12-02 | w: NYK | L: MIN
2000-12-02 | w: PHI | L: CLE
2000-12-02 | w: ATL | L: MIL
2000-12-02 | w: CHH | L: UTA
2000-12-02 | w: DAL | L: GSW
2000-12-02 | w: MIA | L: WAS
2000-12-03 | w: LAL | L: DAL
2000-12-03 | w: MIL | L: IND
2000-12-03 | w: SEA | L: GSW
2000-12-03 | w: PHX | L: POR
2000-12-03 | w: DET | L: WAS
2000-12-03 | w: SAS | L: VAN
2000-12-03 | w: BOS | L: LAC
2000-12-04 | w: DEN | L: PHI
2000-12-04 | w: NYK | L: LAC
2000-12-05 | w: IND | L: NJN
2000-12-05 | w: HOU | L: DAL
2000-12-05 | w: UTA | L: TOR
2000-12-05 | w: LAL | L: PHI
2000-12-05 | w: SAC | L: SAS
2000-12-05 | w: ORL | L: BOS
2000-12-05 | w: MIN | L: CHI
2000-12-05 | w: CLE | L: CHH
2000-12-05 | w: MIA | L: ATL
2000-12-05 | w: VAN | L: DET
2000-12-06 | w: MIL | L: NJN
2000-12-06 | w: DAL | L: NYK
2000-12-06 | w: CLE | L: CHI
2000-12-06 | w: MIA | L: DEN
2000-12-06 | w: POR | L: TOR
2000-12-06 | w: DET | L: SEA
2000-12-06 | w: CHH | L: IND
2000-12-06 | w: GSW | L: LAL
2000-12-06 | w: LAC | L: WAS
2000-12-07 | w: NYK | L: SAS
2000-12-07 | w: UTA | L: VAN
2000-12-07 | w: PHX | L: MIL
2000-12-07 | w: MIN | L: WAS
2000-12-07 | w: ORL | L: DEN
2000-12-08 | w: NJN | L: PHX
2000-12-08 | w: DAL | L: CHI
2000-12-08 | w: SEA | L: LAL
2000-12-08 | w: MIA | L: ATL
2000-12-08 | w: PHI | L: POR
2000-12-08 | w: SAC | L: HOU
2000-12-08 | w: IND | L: BOS
2000-12-08 | w: CHH | L: LAC
2000-12-08 | w: TOR | L: GSW
2000-12-09 | w: IND | L: CHH
2000-12-09 | w: SAS | L: CHI
2000-12-09 | w: UTA | L: GSW
2000-12-09 | w: NYK | L: DEN
2000-12-09 | w: POR | L: DET
2000-12-09 | w: MIL | L: WAS
2000-12-09 | w: HOU | L: SEA
2000-12-09 | w: MIN | L: LAC
2000-12-09 | w: CLE | L: ATL
