============ Start of Season ============
1978-11-14 | w: LAL | L: MIL
1978-11-14 | w: POR | L: NOJ
1978-11-14 | w: WAS | L: CLE
1978-11-15 | w: PHX | L: SAN
1978-11-15 | w: KCK | L: ATL
1978-11-15 | w: LAL | L: DET
1978-11-15 | w: PHL | L: DEN
1978-11-15 | w: CHI | L: HOU
1978-11-15 | w: SEA | L: NOJ
1978-11-15 | w: WAS | L: MIL
1978-11-16 | w: SDC | L: GOS
1978-11-16 | w: NYK | L: CLE
1978-11-17 | w: LAL | L: NOJ
1978-11-17 | w: CHI | L: GOS
1978-11-17 | w: WAS | L: NJN
1978-11-17 | w: PHL | L: PHX
1978-11-17 | w: BOS | L: DEN
1978-11-17 | w: SEA | L: IND
1978-11-18 | w: SDC | L: NOJ
1978-11-18 | w: GOS | L: SEA
1978-11-18 | w: NYK | L: MIL
1978-11-18 | w: KCK | L: NJN
1978-11-18 | w: PHX | L: DET
1978-11-18 | w: WAS | L: DEN
1978-11-18 | w: POR | L: IND
1978-11-18 | w: ATL | L: PHL
1978-11-18 | w: HOU | L: SAN
1978-11-18 | w: BOS | L: CLE
1978-11-19 | w: LAL | L: CHI
1978-11-19 | w: SEA | L: POR
1978-11-21 | w: NYK | L: DET
1978-11-21 | w: ATL | L: SDC
1978-11-21 | w: IND | L: SAN
1978-11-21 | w: MIL | L: POR
1978-11-21 | w: GOS | L: PHL
1978-11-21 | w: NOJ | L: NJN
1978-11-21 | w: PHX | L: CLE
1978-11-22 | w: NJN | L: GOS
1978-11-22 | w: KCK | L: POR
1978-11-22 | w: ATL | L: DEN
1978-11-22 | w: WAS | L: BOS
1978-11-22 | w: LAL | L: HOU
1978-11-22 | w: PHX | L: IND
1978-11-22 | w: SEA | L: CHI
1978-11-23 | w: NOJ | L: GOS
1978-11-23 | w: SAN | L: MIL
1978-11-24 | w: NJN | L: NOJ
1978-11-24 | w: BOS | L: NYK
1978-11-24 | w: PHX | L: HOU
1978-11-24 | w: PHL | L: SDC
1978-11-24 | w: DET | L: ATL
1978-11-24 | w: CHI | L: POR
1978-11-24 | w: CLE | L: IND
1978-11-24 | w: WAS | L: LAL
1978-11-24 | w: DEN | L: SEA
1978-11-25 | w: SDC | L: KCK
1978-11-25 | w: SAN | L: NJN
1978-11-25 | w: NYK | L: NOJ
1978-11-25 | w: MIL | L: PHL
1978-11-25 | w: SEA | L: DEN
1978-11-25 | w: ATL | L: LAL
1978-11-25 | w: POR | L: HOU
1978-11-26 | w: SDC | L: BOS
1978-11-26 | w: PHX | L: CHI
