============ Start of Season ============
1962-02-20 | w: NYK | L: DET
1962-02-20 | w: PHW | L: CHP
1962-02-20 | w: CIN | L: STL
1962-02-20 | w: BOS | L: LAL
1962-02-21 | w: CIN | L: CHP
1962-02-21 | w: DET | L: STL
1962-02-21 | w: SYR | L: PHW
1962-02-22 | w: LAL | L: NYK
1962-02-22 | w: BOS | L: SYR
1962-02-22 | w: PHW | L: STL
1962-02-23 | w: NYK | L: STL
1962-02-23 | w: BOS | L: SYR
1962-02-23 | w: CIN | L: DET
1962-02-23 | w: LAL | L: CHP
1962-02-24 | w: BOS | L: PHW
1962-02-24 | w: CIN | L: LAL
1962-02-24 | w: CHP | L: STL
1962-02-24 | w: SYR | L: NYK
1962-02-25 | w: LAL | L: DET
1962-02-25 | w: NYK | L: PHW
1962-02-25 | w: BOS | L: SYR
1962-02-25 | w: CIN | L: CHP
1962-02-27 | w: SYR | L: NYK
1962-02-27 | w: BOS | L: CHP
1962-02-27 | w: LAL | L: DET
1962-02-27 | w: PHW | L: STL
1962-02-28 | w: NYK | L: DET
1962-02-28 | w: PHW | L: CHP
1962-02-28 | w: BOS | L: CIN
1962-03-01 | w: SYR | L: CIN
1962-03-02 | w: STL | L: BOS
1962-03-02 | w: PHW | L: NYK
1962-03-02 | w: CIN | L: DET
1962-03-03 | w: SYR | L: DET
1962-03-03 | w: CIN | L: CHP
1962-03-03 | w: STL | L: LAL
1962-03-04 | w: DET | L: CHP
1962-03-04 | w: BOS | L: STL
1962-03-04 | w: PHW | L: NYK
1962-03-04 | w: LAL | L: SYR
1962-03-06 | w: NYK | L: BOS
1962-03-07 | w: BOS | L: PHW
1962-03-07 | w: SYR | L: STL
1962-03-07 | w: DET | L: NYK
1962-03-08 | w: BOS | L: CHP
1962-03-09 | w: NYK | L: LAL
1962-03-09 | w: BOS | L: DET
1962-03-09 | w: STL | L: CHP
1962-03-10 | w: SYR | L: DET
1962-03-10 | w: STL | L: CIN
1962-03-10 | w: CHP | L: NYK
1962-03-11 | w: BOS | L: LAL
1962-03-11 | w: SYR | L: PHW
1962-03-11 | w: STL | L: DET
1962-03-12 | w: LAL | L: NYK
1962-03-12 | w: DET | L: CHP
1962-03-13 | w: LAL | L: CIN
1962-03-13 | w: CHP | L: STL
1962-03-13 | w: BOS | L: SYR
1962-03-14 | w: LAL | L: STL
1962-03-14 | w: DET | L: SYR
1962-03-14 | w: CIN | L: NYK
1962-03-14 | w: PHW | L: CHP
============ End of Regular Season ============
1962-03-16 | w: DET | L: CIN
1962-03-16 | w: PHW | L: SYR
1962-03-17 | w: CIN | L: DET
1962-03-18 | w: DET | L: CIN
1962-03-18 | w: PHW | L: SYR
1962-03-19 | w: SYR | L: PHW
1962-03-20 | w: SYR | L: PHW
1962-03-20 | w: DET | L: CIN
1962-03-22 | w: PHW | L: SYR
1962-03-24 | w: LAL | L: DET
1962-03-24 | w: BOS | L: PHW
1962-03-25 | w: LAL | L: DET
1962-03-27 | w: PHW | L: BOS
1962-03-27 | w: LAL | L: DET
1962-03-28 | w: BOS | L: PHW
1962-03-29 | w: DET | L: LAL
1962-03-31 | w: PHW | L: BOS
1962-03-31 | w: DET | L: LAL
1962-04-01 | w: BOS | L: PHW
1962-04-03 | w: PHW | L: BOS
1962-04-03 | w: LAL | L: DET
1962-04-05 | w: BOS | L: PHW
1962-04-07 | w: BOS | L: LAL
1962-04-08 | w: LAL | L: BOS
1962-04-10 | w: LAL | L: BOS
1962-04-11 | w: BOS | L: LAL
1962-04-14 | w: LAL | L: BOS
1962-04-16 | w: BOS | L: LAL
1962-04-18 | w: BOS | L: LAL
============ End of Playoffs ============
