============ Start of Season ============
1958-01-17 | w: MNL | L: STL
1958-01-18 | w: NYK | L: SYR
1958-01-18 | w: PHW | L: BOS
1958-01-18 | w: STL | L: DET
1958-01-19 | w: BOS | L: PHW
1958-01-19 | w: MNL | L: DET
1958-01-19 | w: SYR | L: NYK
1958-01-19 | w: STL | L: CIN
1958-01-22 | w: BOS | L: MNL
1958-01-22 | w: NYK | L: DET
1958-01-22 | w: CIN | L: SYR
1958-01-23 | w: SYR | L: PHW
1958-01-23 | w: MNL | L: DET
1958-01-24 | w: BOS | L: NYK
1958-01-24 | w: PHW | L: CIN
1958-01-25 | w: NYK | L: MNL
1958-01-25 | w: DET | L: STL
1958-01-25 | w: SYR | L: BOS
1958-01-26 | w: BOS | L: SYR
1958-01-26 | w: NYK | L: MNL
1958-01-26 | w: CIN | L: DET
1958-01-26 | w: PHW | L: STL
1958-01-27 | w: NYK | L: MNL
1958-01-27 | w: DET | L: PHW
1958-01-28 | w: SYR | L: NYK
1958-01-28 | w: STL | L: PHW
1958-01-29 | w: BOS | L: STL
1958-01-30 | w: MNL | L: CIN
1958-01-30 | w: PHW | L: BOS
1958-01-30 | w: DET | L: SYR
1958-01-31 | w: PHW | L: BOS
1958-01-31 | w: DET | L: NYK
1958-01-31 | w: CIN | L: STL
1958-02-01 | w: BOS | L: NYK
1958-02-01 | w: SYR | L: MNL
1958-02-01 | w: PHW | L: DET
1958-02-01 | w: STL | L: CIN
1958-02-02 | w: BOS | L: DET
1958-02-02 | w: PHW | L: NYK
1958-02-02 | w: MNL | L: CIN
1958-02-02 | w: SYR | L: STL
1958-02-04 | w: BOS | L: CIN
1958-02-04 | w: NYK | L: STL
1958-02-04 | w: PHW | L: MNL
1958-02-04 | w: DET | L: SYR
1958-02-05 | w: BOS | L: CIN
1958-02-05 | w: PHW | L: MNL
1958-02-07 | w: BOS | L: MNL
1958-02-07 | w: CIN | L: PHW
1958-02-07 | w: DET | L: STL
1958-02-07 | w: SYR | L: NYK
1958-02-08 | w: NYK | L: MNL
1958-02-08 | w: BOS | L: CIN
1958-02-08 | w: STL | L: SYR
1958-02-09 | w: PHW | L: STL
1958-02-09 | w: SYR | L: BOS
1958-02-09 | w: NYK | L: DET
1958-02-09 | w: CIN | L: MNL
1958-02-11 | w: PHW | L: DET
1958-02-11 | w: SYR | L: BOS
1958-02-11 | w: CIN | L: MNL
1958-02-11 | w: STL | L: NYK
1958-02-12 | w: BOS | L: SYR
1958-02-12 | w: NYK | L: MNL
1958-02-12 | w: STL | L: DET
1958-02-13 | w: SYR | L: PHW
1958-02-14 | w: DET | L: BOS
1958-02-14 | w: STL | L: MNL
1958-02-14 | w: NYK | L: CIN
1958-02-15 | w: NYK | L: CIN
1958-02-15 | w: BOS | L: PHW
1958-02-15 | w: MNL | L: DET
1958-02-16 | w: MNL | L: PHW
1958-02-16 | w: SYR | L: CIN
1958-02-16 | w: DET | L: STL
1958-02-18 | w: BOS | L: NYK
1958-02-18 | w: DET | L: SYR
1958-02-18 | w: STL | L: MNL
1958-02-19 | w: PHW | L: BOS
1958-02-19 | w: SYR | L: NYK
1958-02-19 | w: DET | L: MNL
1958-02-20 | w: BOS | L: CIN
1958-02-20 | w: PHW | L: SYR
1958-02-21 | w: DET | L: CIN
1958-02-21 | w: STL | L: BOS
1958-02-21 | w: PHW | L: NYK
1958-02-22 | w: NYK | L: SYR
1958-02-22 | w: MNL | L: CIN
1958-02-22 | w: DET | L: STL
1958-02-23 | w: BOS | L: PHW
1958-02-23 | w: SYR | L: STL
1958-02-23 | w: CIN | L: MNL
1958-02-24 | w: PHW | L: MNL
1958-02-25 | w: PHW | L: NYK
1958-02-25 | w: DET | L: STL
1958-02-26 | w: NYK | L: PHW
1958-02-26 | w: BOS | L: DET
1958-02-26 | w: SYR | L: MNL
1958-02-26 | w: STL | L: CIN
1958-02-27 | w: PHW | L: SYR
1958-02-27 | w: DET | L: MNL
1958-03-01 | w: DET | L: NYK
