============ Start of Season ============
1966-12-23 | w: PHL | L: LAL
1966-12-23 | w: BOS | L: STL
1966-12-23 | w: DET | L: CHI
1966-12-25 | w: NYK | L: CHI
1966-12-25 | w: SFW | L: CIN
1966-12-25 | w: DET | L: BLT
1966-12-26 | w: STL | L: SFW
1966-12-26 | w: BOS | L: LAL
1966-12-26 | w: NYK | L: DET
1966-12-26 | w: CHI | L: BLT
1966-12-26 | w: PHL | L: CIN
1966-12-27 | w: STL | L: BLT
1966-12-27 | w: CIN | L: DET
1966-12-28 | w: NYK | L: LAL
1966-12-28 | w: SFW | L: BLT
1966-12-28 | w: PHL | L: BOS
1966-12-29 | w: BOS | L: STL
1966-12-29 | w: LAL | L: CIN
1966-12-30 | w: NYK | L: BLT
1966-12-30 | w: BOS | L: CHI
1966-12-30 | w: PHL | L: DET
1966-12-30 | w: SFW | L: CIN
1966-12-31 | w: NYK | L: CIN
1967-01-01 | w: LAL | L: BOS
1967-01-01 | w: STL | L: NYK
1967-01-02 | w: STL | L: DET
1967-01-03 | w: DET | L: BLT
1967-01-03 | w: CHI | L: CIN
1967-01-03 | w: PHL | L: NYK
1967-01-03 | w: BOS | L: SFW
1967-01-04 | w: LAL | L: STL
1967-01-04 | w: PHL | L: CHI
1967-01-04 | w: DET | L: BLT
1967-01-05 | w: SFW | L: LAL
1967-01-05 | w: NYK | L: PHL
1967-01-06 | w: LAL | L: BOS
1967-01-06 | w: SFW | L: STL
1967-01-06 | w: CHI | L: DET
1967-01-06 | w: PHL | L: BLT
1967-01-07 | w: SFW | L: BOS
1967-01-07 | w: NYK | L: BLT
1967-01-07 | w: CIN | L: CHI
1967-01-08 | w: NYK | L: LAL
1967-01-08 | w: STL | L: DET
1967-01-08 | w: CIN | L: BLT
1967-01-08 | w: PHL | L: CHI
1967-01-11 | w: LAL | L: SFW
1967-01-11 | w: CIN | L: CHI
1967-01-12 | w: SFW | L: NYK
1967-01-12 | w: BLT | L: STL
1967-01-13 | w: BOS | L: CHI
1967-01-13 | w: NYK | L: SFW
1967-01-13 | w: DET | L: BLT
1967-01-13 | w: PHL | L: STL
1967-01-13 | w: CIN | L: LAL
1967-01-14 | w: SFW | L: DET
1967-01-14 | w: BOS | L: BLT
1967-01-14 | w: CHI | L: LAL
1967-01-14 | w: CIN | L: STL
1967-01-15 | w: STL | L: SFW
1967-01-15 | w: PHL | L: BOS
1967-01-15 | w: LAL | L: DET
1967-01-15 | w: CHI | L: NYK
1967-01-16 | w: BLT | L: STL
1967-01-17 | w: BOS | L: CHI
1967-01-17 | w: PHL | L: NYK
1967-01-18 | w: PHL | L: DET
1967-01-18 | w: CHI | L: SFW
1967-01-18 | w: BOS | L: CIN
1967-01-18 | w: STL | L: LAL
1967-01-19 | w: SFW | L: NYK
1967-01-19 | w: BLT | L: CIN
1967-01-19 | w: PHL | L: CHI
1967-01-20 | w: BOS | L: BLT
1967-01-20 | w: SFW | L: STL
1967-01-20 | w: PHL | L: LAL
1967-01-20 | w: CHI | L: DET
1967-01-21 | w: NYK | L: STL
1967-01-21 | w: BLT | L: LAL
