============ Start of Season ============
1983-11-26 | w: NYK | L: CLE
1983-11-26 | w: MIL | L: WAS
1983-11-26 | w: POR | L: SEA
1983-11-26 | w: KCK | L: UTH
1983-11-26 | w: DEN | L: PHX
1983-11-26 | w: NJN | L: SDC
1983-11-26 | w: DAL | L: GOS
1983-11-27 | w: LAL | L: CHI
1983-11-27 | w: BOS | L: DET
1983-11-27 | w: CLE | L: SAN
1983-11-27 | w: IND | L: NYK
1983-11-28 | w: KCK | L: POR
1983-11-29 | w: DEN | L: ATL
1983-11-29 | w: LAL | L: GOS
1983-11-29 | w: NYK | L: SAN
1983-11-29 | w: DET | L: CLE
1983-11-29 | w: MIL | L: WAS
1983-11-29 | w: HOU | L: CHI
1983-11-29 | w: SEA | L: SDC
1983-11-29 | w: UTH | L: PHX
1983-11-29 | w: PHL | L: IND
1983-11-30 | w: BOS | L: SAN
1983-11-30 | w: KCK | L: PHX
1983-11-30 | w: MIL | L: DEN
1983-11-30 | w: CLE | L: POR
1983-11-30 | w: NYK | L: NJN
1983-11-30 | w: UTH | L: SDC
1983-11-30 | w: DAL | L: HOU
1983-11-30 | w: PHL | L: ATL
1983-12-01 | w: NYK | L: WAS
1983-12-01 | w: GOS | L: KCK
1983-12-02 | w: DAL | L: LAL
1983-12-02 | w: BOS | L: POR
1983-12-02 | w: DET | L: ATL
1983-12-02 | w: HOU | L: SEA
1983-12-02 | w: UTH | L: PHX
1983-12-02 | w: MIL | L: NJN
1983-12-02 | w: CLE | L: IND
1983-12-02 | w: SAN | L: CHI
1983-12-02 | w: SDC | L: GOS
1983-12-03 | w: ATL | L: CLE
1983-12-03 | w: NYK | L: HOU
1983-12-03 | w: DET | L: IND
1983-12-03 | w: UTH | L: KCK
1983-12-03 | w: DEN | L: SEA
1983-12-03 | w: DAL | L: CHI
1983-12-03 | w: POR | L: NJN
1983-12-03 | w: WAS | L: PHL
1983-12-04 | w: LAL | L: SDC
1983-12-04 | w: PHX | L: SAN
1983-12-04 | w: PHL | L: BOS
1983-12-06 | w: ATL | L: PHX
1983-12-06 | w: GOS | L: SEA
1983-12-06 | w: DEN | L: NYK
1983-12-06 | w: WAS | L: HOU
1983-12-06 | w: BOS | L: CHI
1983-12-06 | w: POR | L: SAN
1983-12-06 | w: KCK | L: DAL
1983-12-06 | w: NJN | L: CLE
1983-12-07 | w: MIL | L: HOU
1983-12-07 | w: CLE | L: ATL
1983-12-07 | w: UTH | L: POR
1983-12-07 | w: SDC | L: SAN
1983-12-07 | w: BOS | L: IND
1983-12-07 | w: WAS | L: DAL
1983-12-07 | w: PHL | L: DEN
1983-12-08 | w: LAL | L: KCK
1983-12-08 | w: GOS | L: DET
1983-12-08 | w: PHX | L: NYK
1983-12-09 | w: BOS | L: DEN
1983-12-09 | w: SEA | L: DAL
1983-12-09 | w: POR | L: DET
1983-12-09 | w: MIL | L: CLE
1983-12-09 | w: SAN | L: UTH
1983-12-09 | w: IND | L: ATL
1983-12-09 | w: NYK | L: SDC
1983-12-09 | w: HOU | L: CHI
1983-12-09 | w: NJN | L: PHL
1983-12-10 | w: BOS | L: ATL
1983-12-10 | w: UTH | L: HOU
1983-12-10 | w: PHX | L: SDC
1983-12-10 | w: CLE | L: CHI
1983-12-10 | w: KCK | L: IND
