============ Start of Season ============
2016-11-16 | w: MEM | L: LAC
2016-11-16 | w: IND | L: CLE
2016-11-16 | w: ATL | L: MIL
2016-11-16 | w: DEN | L: PHX
2016-11-16 | w: SAS | L: SAC
2016-11-16 | w: GSW | L: TOR
2016-11-16 | w: OKC | L: HOU
2016-11-17 | w: HOU | L: POR
2016-11-17 | w: MIA | L: MIL
2016-11-17 | w: CHI | L: UTA
2016-11-17 | w: MIN | L: PHI
2016-11-17 | w: WAS | L: NYK
2016-11-18 | w: SAS | L: LAL
2016-11-18 | w: GSW | L: BOS
2016-11-18 | w: CLE | L: DET
2016-11-18 | w: PHX | L: IND
2016-11-18 | w: MEM | L: DAL
2016-11-18 | w: LAC | L: SAC
2016-11-18 | w: TOR | L: DEN
2016-11-18 | w: CHA | L: ATL
2016-11-18 | w: OKC | L: BKN
2016-11-18 | w: NOP | L: POR
2016-11-19 | w: PHI | L: PHX
2016-11-19 | w: HOU | L: UTA
2016-11-19 | w: ORL | L: DAL
2016-11-19 | w: LAC | L: CHI
2016-11-19 | w: BOS | L: DET
2016-11-19 | w: GSW | L: MIL
2016-11-19 | w: MIA | L: WAS
2016-11-19 | w: MEM | L: MIN
2016-11-19 | w: NOP | L: CHA
2016-11-20 | w: CHI | L: LAL
2016-11-20 | w: NYK | L: ATL
2016-11-20 | w: POR | L: BKN
2016-11-20 | w: SAC | L: TOR
2016-11-20 | w: DEN | L: UTA
2016-11-20 | w: IND | L: OKC
2016-11-21 | w: PHI | L: MIA
2016-11-21 | w: SAS | L: DAL
2016-11-21 | w: LAC | L: TOR
2016-11-21 | w: HOU | L: DET
2016-11-21 | w: GSW | L: IND
2016-11-21 | w: MIL | L: ORL
2016-11-21 | w: BOS | L: MIN
2016-11-21 | w: MEM | L: CHA
2016-11-21 | w: WAS | L: PHX
2016-11-22 | w: LAL | L: OKC
2016-11-22 | w: NYK | L: POR
2016-11-22 | w: NOP | L: ATL
2016-11-22 | w: DEN | L: CHI
2016-11-23 | w: MEM | L: PHI
2016-11-23 | w: GSW | L: LAL
2016-11-23 | w: BOS | L: BKN
2016-11-23 | w: CLE | L: POR
2016-11-23 | w: TOR | L: HOU
2016-11-23 | w: PHX | L: ORL
2016-11-23 | w: DET | L: MIA
2016-11-23 | w: UTA | L: DEN
2016-11-23 | w: ATL | L: IND
2016-11-23 | w: SAC | L: OKC
2016-11-23 | w: LAC | L: DAL
2016-11-23 | w: SAS | L: CHA
2016-11-23 | w: NOP | L: MIN
2016-11-25 | w: CHI | L: PHI
2016-11-25 | w: GSW | L: LAL
2016-11-25 | w: NYK | L: CHA
2016-11-25 | w: MIN | L: PHX
2016-11-25 | w: SAS | L: BOS
2016-11-25 | w: CLE | L: DAL
2016-11-25 | w: WAS | L: ORL
2016-11-25 | w: DET | L: LAC
2016-11-25 | w: POR | L: NOP
2016-11-25 | w: UTA | L: ATL
2016-11-25 | w: IND | L: BKN
2016-11-25 | w: TOR | L: MIL
2016-11-25 | w: HOU | L: SAC
2016-11-25 | w: OKC | L: DEN
2016-11-25 | w: MIA | L: MEM
2016-11-26 | w: GSW | L: MIN
2016-11-26 | w: MEM | L: MIA
2016-11-26 | w: CHA | L: NYK
2016-11-26 | w: SAS | L: WAS
2016-11-26 | w: OKC | L: DET
2016-11-27 | w: CLE | L: PHI
2016-11-27 | w: LAL | L: ATL
2016-11-27 | w: DEN | L: PHX
2016-11-27 | w: SAC | L: BKN
2016-11-27 | w: MIL | L: ORL
2016-11-27 | w: HOU | L: POR
2016-11-27 | w: IND | L: LAC
2016-11-27 | w: DAL | L: NOP
2016-11-28 | w: GSW | L: ATL
2016-11-28 | w: OKC | L: NYK
2016-11-28 | w: BOS | L: MIA
2016-11-28 | w: UTA | L: MIN
2016-11-28 | w: WAS | L: SAC
2016-11-28 | w: TOR | L: PHI
2016-11-28 | w: CHA | L: MEM
2016-11-29 | w: ORL | L: SAS
2016-11-29 | w: BKN | L: LAC
2016-11-29 | w: UTA | L: HOU
2016-11-29 | w: MIL | L: CLE
2016-11-29 | w: DET | L: CHA
2016-11-29 | w: NOP | L: LAL
2016-11-30 | w: LAL | L: CHI
2016-11-30 | w: PHX | L: ATL
2016-11-30 | w: DET | L: BOS
2016-11-30 | w: POR | L: IND
2016-11-30 | w: SAS | L: DAL
2016-11-30 | w: MIA | L: DEN
2016-11-30 | w: NYK | L: MIN
2016-11-30 | w: TOR | L: MEM
2016-11-30 | w: OKC | L: WAS
2016-12-01 | w: HOU | L: GSW
2016-12-01 | w: MIL | L: BKN
2016-12-01 | w: LAC | L: CLE
2016-12-01 | w: MIA | L: UTA
2016-12-01 | w: CHA | L: DAL
2016-12-01 | w: MEM | L: ORL
2016-12-02 | w: ORL | L: PHI
2016-12-02 | w: SAS | L: WAS
2016-12-02 | w: CHI | L: CLE
2016-12-02 | w: NYK | L: MIN
2016-12-02 | w: BOS | L: SAC
2016-12-02 | w: DET | L: ATL
2016-12-02 | w: HOU | L: DEN
2016-12-02 | w: TOR | L: LAL
2016-12-02 | w: LAC | L: NOP
2016-12-03 | w: BOS | L: PHI
2016-12-03 | w: GSW | L: PHX
2016-12-03 | w: UTA | L: DEN
2016-12-03 | w: POR | L: MIA
2016-12-03 | w: MIL | L: BKN
2016-12-03 | w: DAL | L: CHI
2016-12-03 | w: MIN | L: CHA
2016-12-03 | w: TOR | L: ATL
2016-12-03 | w: MEM | L: LAL
2016-12-04 | w: NYK | L: SAC
2016-12-04 | w: IND | L: LAC
2016-12-04 | w: ORL | L: DET
2016-12-04 | w: OKC | L: NOP
2016-12-05 | w: DEN | L: PHI
2016-12-05 | w: GSW | L: IND
2016-12-05 | w: UTA | L: LAL
2016-12-05 | w: POR | L: CHI
2016-12-05 | w: WAS | L: BKN
2016-12-05 | w: HOU | L: BOS
2016-12-05 | w: OKC | L: ATL
2016-12-05 | w: SAS | L: MIL
2016-12-05 | w: CHA | L: DAL
2016-12-05 | w: CLE | L: TOR
2016-12-05 | w: MEM | L: NOP
2016-12-06 | w: DET | L: CHI
2016-12-06 | w: NYK | L: MIA
2016-12-06 | w: UTA | L: PHX
2016-12-06 | w: SAS | L: MIN
2016-12-06 | w: ORL | L: WAS
2016-12-06 | w: MEM | L: PHI
2016-12-07 | w: CLE | L: NYK
2016-12-07 | w: IND | L: PHX
2016-12-07 | w: BKN | L: DEN
2016-12-07 | w: HOU | L: LAL
2016-12-07 | w: BOS | L: ORL
2016-12-07 | w: GSW | L: LAC
2016-12-07 | w: ATL | L: MIA
2016-12-07 | w: MIL | L: POR
2016-12-07 | w: SAC | L: DAL
2016-12-07 | w: CHA | L: DET
2016-12-08 | w: CHI | L: SAS
2016-12-08 | w: GSW | L: UTA
2016-12-08 | w: WAS | L: DEN
2016-12-08 | w: MEM | L: POR
2016-12-08 | w: TOR | L: MIN
2016-12-08 | w: PHI | L: NOP
2016-12-09 | w: PHX | L: LAL
2016-12-09 | w: TOR | L: BOS
2016-12-09 | w: CLE | L: MIA
2016-12-09 | w: ATL | L: MIL
2016-12-09 | w: NYK | L: SAC
2016-12-09 | w: DAL | L: IND
2016-12-09 | w: DET | L: MIN
2016-12-09 | w: CHA | L: ORL
2016-12-09 | w: HOU | L: OKC
2016-12-10 | w: SAS | L: BKN
2016-12-10 | w: CHI | L: MIA
2016-12-10 | w: CLE | L: CHA
2016-12-10 | w: HOU | L: DAL
2016-12-10 | w: DEN | L: ORL
2016-12-10 | w: LAC | L: NOP
2016-12-10 | w: UTA | L: SAC
2016-12-10 | w: IND | L: POR
2016-12-10 | w: WAS | L: MIL
2016-12-10 | w: MEM | L: GSW
2016-12-11 | w: NYK | L: LAL
2016-12-11 | w: NOP | L: PHX
2016-12-11 | w: PHI | L: DET
2016-12-11 | w: GSW | L: MIN
2016-12-11 | w: OKC | L: BOS
2016-12-12 | w: HOU | L: BKN
2016-12-12 | w: LAC | L: POR
2016-12-12 | w: MIA | L: WAS
2016-12-12 | w: IND | L: CHA
2016-12-12 | w: DAL | L: DEN
2016-12-12 | w: SAC | L: LAL
