============ Start of Season ============
1965-01-15 | w: BOS | L: PHL
1965-01-15 | w: NYK | L: SFW
1965-01-15 | w: CIN | L: LAL
1965-01-16 | w: STL | L: BLT
1965-01-16 | w: NYK | L: SFW
1965-01-17 | w: STL | L: LAL
1965-01-17 | w: BOS | L: CIN
1965-01-18 | w: PHL | L: DET
1965-01-19 | w: DET | L: PHL
1965-01-19 | w: CIN | L: STL
1965-01-20 | w: LAL | L: NYK
1965-01-20 | w: CIN | L: DET
1965-01-20 | w: BOS | L: BLT
1965-01-21 | w: PHL | L: SFW
1965-01-22 | w: LAL | L: NYK
1965-01-22 | w: BLT | L: STL
1965-01-22 | w: BOS | L: SFW
1965-01-22 | w: PHL | L: DET
1965-01-23 | w: BLT | L: STL
1965-01-23 | w: PHL | L: BOS
1965-01-23 | w: DET | L: CIN
1965-01-24 | w: BOS | L: LAL
1965-01-24 | w: BLT | L: STL
1965-01-24 | w: CIN | L: SFW
1965-01-25 | w: BOS | L: BLT
1965-01-26 | w: DET | L: PHL
1965-01-26 | w: CIN | L: SFW
1965-01-26 | w: LAL | L: NYK
1965-01-27 | w: DET | L: BLT
1965-01-27 | w: LAL | L: CIN
1965-01-27 | w: STL | L: NYK
1965-01-27 | w: BOS | L: PHL
1965-01-28 | w: SFW | L: CIN
1965-01-29 | w: NYK | L: DET
1965-01-29 | w: STL | L: BLT
1965-01-29 | w: PHL | L: BOS
1965-01-29 | w: LAL | L: CIN
1965-01-30 | w: BOS | L: NYK
1965-01-30 | w: LAL | L: SFW
1965-01-30 | w: DET | L: STL
1965-01-31 | w: LAL | L: SFW
1965-01-31 | w: PHL | L: CIN
1965-01-31 | w: DET | L: STL
1965-01-31 | w: BOS | L: NYK
1965-02-02 | w: PHL | L: STL
1965-02-02 | w: NYK | L: SFW
1965-02-02 | w: DET | L: LAL
1965-02-03 | w: PHL | L: NYK
1965-02-03 | w: BLT | L: BOS
1965-02-03 | w: DET | L: SFW
1965-02-03 | w: CIN | L: LAL
1965-02-04 | w: PHL | L: STL
1965-02-05 | w: BOS | L: CIN
1965-02-05 | w: SFW | L: BLT
1965-02-05 | w: NYK | L: DET
1965-02-06 | w: STL | L: SFW
1965-02-06 | w: NYK | L: DET
1965-02-06 | w: BLT | L: LAL
1965-02-06 | w: PHL | L: CIN
1965-02-07 | w: DET | L: BLT
1965-02-07 | w: STL | L: SFW
1965-02-07 | w: BOS | L: LAL
1965-02-08 | w: LAL | L: PHL
1965-02-09 | w: PHL | L: SFW
1965-02-09 | w: STL | L: NYK
1965-02-09 | w: CIN | L: BOS
1965-02-10 | w: PHL | L: LAL
1965-02-10 | w: BOS | L: DET
1965-02-10 | w: NYK | L: CIN
1965-02-11 | w: SFW | L: PHL
1965-02-11 | w: STL | L: BLT
1965-02-11 | w: CIN | L: DET
1965-02-12 | w: LAL | L: SFW
1965-02-12 | w: STL | L: BLT
1965-02-12 | w: BOS | L: NYK
1965-02-13 | w: LAL | L: SFW
1965-02-13 | w: NYK | L: BOS
1965-02-13 | w: BLT | L: DET
1965-02-13 | w: CIN | L: PHL
1965-02-14 | w: CIN | L: STL
1965-02-14 | w: BOS | L: BLT
1965-02-16 | w: NYK | L: BLT
1965-02-16 | w: DET | L: SFW
1965-02-16 | w: CIN | L: STL
1965-02-17 | w: BOS | L: STL
1965-02-17 | w: LAL | L: NYK
1965-02-17 | w: BLT | L: CIN
1965-02-18 | w: BOS | L: STL
1965-02-18 | w: DET | L: SFW
1965-02-18 | w: LAL | L: PHL
1965-02-19 | w: LAL | L: BLT
1965-02-20 | w: BOS | L: SFW
1965-02-20 | w: PHL | L: NYK
1965-02-20 | w: STL | L: DET
1965-02-21 | w: PHL | L: BLT
1965-02-21 | w: LAL | L: BOS
1965-02-21 | w: STL | L: DET
1965-02-21 | w: NYK | L: CIN
1965-02-22 | w: STL | L: SFW
1965-02-22 | w: PHL | L: BLT
1965-02-23 | w: NYK | L: PHL
1965-02-23 | w: BLT | L: CIN
1965-02-24 | w: DET | L: PHL
1965-02-24 | w: BOS | L: LAL
1965-02-24 | w: STL | L: SFW
1965-02-24 | w: BLT | L: NYK
1965-02-26 | w: LAL | L: STL
1965-02-26 | w: BOS | L: SFW
1965-02-27 | w: NYK | L: BLT
1965-02-27 | w: DET | L: CIN
1965-02-28 | w: CIN | L: NYK
1965-02-28 | w: LAL | L: PHL
1965-02-28 | w: BOS | L: STL
1965-02-28 | w: BLT | L: SFW
1965-03-01 | w: DET | L: CIN
1965-03-02 | w: LAL | L: PHL
1965-03-02 | w: STL | L: NYK
1965-03-02 | w: CIN | L: SFW
1965-03-03 | w: LAL | L: BOS
1965-03-03 | w: STL | L: PHL
1965-03-03 | w: DET | L: SFW
1965-03-03 | w: BLT | L: CIN
1965-03-04 | w: SFW | L: DET
1965-03-05 | w: PHL | L: CIN
1965-03-05 | w: LAL | L: NYK
1965-03-05 | w: BLT | L: BOS
1965-03-06 | w: STL | L: LAL
1965-03-06 | w: CIN | L: SFW
1965-03-06 | w: NYK | L: DET
1965-03-06 | w: PHL | L: BOS
1965-03-07 | w: LAL | L: CIN
1965-03-07 | w: STL | L: NYK
1965-03-07 | w: BOS | L: PHL
1965-03-07 | w: BLT | L: DET
1965-03-08 | w: BLT | L: SFW
1965-03-09 | w: LAL | L: BLT
1965-03-09 | w: NYK | L: PHL
1965-03-10 | w: STL | L: CIN
1965-03-10 | w: BOS | L: DET
1965-03-10 | w: NYK | L: PHL
1965-03-11 | w: BOS | L: DET
1965-03-11 | w: STL | L: SFW
1965-03-11 | w: LAL | L: BLT
1965-03-12 | w: LAL | L: SFW
1965-03-12 | w: CIN | L: BOS
1965-03-13 | w: LAL | L: STL
1965-03-13 | w: NYK | L: BLT
1965-03-13 | w: PHL | L: DET
1965-03-14 | w: BLT | L: PHL
1965-03-14 | w: STL | L: LAL
1965-03-14 | w: BOS | L: SFW
1965-03-14 | w: CIN | L: NYK
1965-03-16 | w: LAL | L: DET
1965-03-16 | w: SFW | L: PHL
1965-03-16 | w: CIN | L: NYK
1965-03-17 | w: STL | L: SFW
1965-03-17 | w: NYK | L: BOS
1965-03-17 | w: BLT | L: LAL
1965-03-18 | w: CIN | L: BLT
1965-03-20 | w: NYK | L: BLT
1965-03-20 | w: SFW | L: LAL
1965-03-20 | w: STL | L: DET
1965-03-20 | w: CIN | L: PHL
1965-03-21 | w: STL | L: NYK
1965-03-21 | w: BOS | L: CIN
1965-03-21 | w: PHL | L: BLT
============ End of Regular Season ============
1965-03-24 | w: BLT | L: STL
1965-03-24 | w: PHL | L: CIN
1965-03-26 | w: STL | L: BLT
1965-03-26 | w: CIN | L: PHL
1965-03-27 | w: BLT | L: STL
1965-03-28 | w: PHL | L: CIN
1965-03-30 | w: BLT | L: STL
1965-03-31 | w: PHL | L: CIN
1965-04-03 | w: LAL | L: BLT
1965-04-04 | w: BOS | L: PHL
1965-04-05 | w: LAL | L: BLT
1965-04-06 | w: PHL | L: BOS
1965-04-07 | w: BLT | L: LAL
1965-04-08 | w: BOS | L: PHL
1965-04-09 | w: BLT | L: LAL
1965-04-09 | w: PHL | L: BOS
1965-04-11 | w: LAL | L: BLT
1965-04-11 | w: BOS | L: PHL
1965-04-13 | w: LAL | L: BLT
1965-04-13 | w: PHL | L: BOS
1965-04-15 | w: BOS | L: PHL
1965-04-18 | w: BOS | L: LAL
1965-04-19 | w: BOS | L: LAL
1965-04-21 | w: LAL | L: BOS
1965-04-23 | w: BOS | L: LAL
1965-04-25 | w: BOS | L: LAL
============ End of Playoffs ============
