============ Start of Season ============
1947-01-15 | w: DEF | L: CHS
1947-01-16 | w: BOS | L: WAS
1947-01-16 | w: CHS | L: PHW
1947-01-16 | w: CLR | L: BOM
1947-01-17 | w: DEF | L: HUS
1947-01-18 | w: BOS | L: NYK
1947-01-18 | w: WAS | L: CHS
1947-01-19 | w: BOM | L: PRO
1947-01-19 | w: CLR | L: NYK
1947-01-20 | w: CHS | L: BOS
1947-01-20 | w: PIT | L: DEF
1947-01-21 | w: PHW | L: BOS
1947-01-21 | w: HUS | L: BOM
1947-01-22 | w: NYK | L: CHS
1947-01-22 | w: WAS | L: PHW
1947-01-22 | w: CLR | L: DEF
1947-01-23 | w: BOS | L: PIT
1947-01-23 | w: CHS | L: PRO
1947-01-23 | w: PHW | L: CLR
1947-01-24 | w: PRO | L: HUS
1947-01-25 | w: BOS | L: NYK
1947-01-25 | w: WAS | L: PIT
1947-01-25 | w: PHW | L: DEF
1947-01-26 | w: CHS | L: PHW
1947-01-26 | w: BOM | L: DEF
1947-01-27 | w: WAS | L: BOS
1947-01-27 | w: PIT | L: PRO
1947-01-27 | w: CLR | L: HUS
1947-01-28 | w: CLR | L: HUS
1947-01-29 | w: NYK | L: PIT
1947-01-29 | w: WAS | L: BOS
1947-01-29 | w: PRO | L: DEF
1947-01-30 | w: BOS | L: PIT
1947-01-30 | w: PHW | L: NYK
1947-01-30 | w: PRO | L: BOM
1947-01-31 | w: HUS | L: WAS
1947-02-01 | w: PHW | L: NYK
1947-02-01 | w: BOM | L: CLR
1947-02-01 | w: PRO | L: PIT
1947-02-02 | w: CHS | L: HUS
1947-02-02 | w: WAS | L: CLR
1947-02-02 | w: DEF | L: NYK
1947-02-03 | w: PHW | L: BOS
1947-02-03 | w: PIT | L: BOM
1947-02-04 | w: PHW | L: PRO
1947-02-05 | w: BOM | L: NYK
1947-02-05 | w: HUS | L: PIT
1947-02-05 | w: WAS | L: DEF
1947-02-06 | w: BOS | L: NYK
1947-02-06 | w: PHW | L: HUS
1947-02-06 | w: BOM | L: PRO
1947-02-06 | w: CHS | L: PIT
1947-02-08 | w: NYK | L: HUS
1947-02-08 | w: WAS | L: BOM
1947-02-08 | w: PRO | L: PHW
1947-02-08 | w: DEF | L: PIT
1947-02-09 | w: CHS | L: WAS
1947-02-09 | w: DEF | L: CLR
1947-02-10 | w: PIT | L: WAS
1947-02-11 | w: PHW | L: BOM
1947-02-11 | w: CLR | L: PRO
1947-02-12 | w: NYK | L: WAS
1947-02-12 | w: CHS | L: PIT
1947-02-12 | w: DEF | L: PRO
1947-02-13 | w: BOS | L: BOM
1947-02-13 | w: PHW | L: CLR
