============ Start of Season ============
1979-11-11 | w: PHX | L: DEN
1979-11-11 | w: POR | L: SAC
1979-11-12 | w: IND | L: UTA
1979-11-13 | w: WAS | L: NYK
1979-11-13 | w: HOU | L: CHI
1979-11-13 | w: MIL | L: POR
1979-11-13 | w: SAC | L: PHI
1979-11-13 | w: DEN | L: CLE
1979-11-13 | w: BKN | L: ATL
1979-11-13 | w: LAL | L: LAC
1979-11-13 | w: SAS | L: GSW
1979-11-14 | w: ATL | L: UTA
1979-11-14 | w: BOS | L: DET
1979-11-14 | w: WAS | L: CHI
1979-11-14 | w: OKC | L: MIL
1979-11-14 | w: HOU | L: GSW
1979-11-14 | w: PHX | L: IND
1979-11-15 | w: GSW | L: DEN
1979-11-15 | w: SAC | L: LAL
1979-11-15 | w: SAS | L: NYK
1979-11-16 | w: BOS | L: UTA
1979-11-16 | w: OKC | L: CLE
1979-11-16 | w: HOU | L: NYK
1979-11-16 | w: PHX | L: POR
1979-11-16 | w: SAS | L: PHI
1979-11-16 | w: SAC | L: CHI
1979-11-16 | w: WAS | L: BKN
1979-11-16 | w: LAC | L: IND
1979-11-16 | w: LAL | L: DEN
1979-11-17 | w: HOU | L: ATL
1979-11-17 | w: OKC | L: GSW
1979-11-17 | w: NYK | L: BOS
1979-11-17 | w: BKN | L: DET
1979-11-17 | w: WAS | L: UTA
1979-11-17 | w: POR | L: CLE
1979-11-17 | w: CHI | L: PHI
1979-11-18 | w: LAL | L: IND
1979-11-18 | w: GSW | L: PHX
1979-11-18 | w: POR | L: OKC
1979-11-18 | w: SAC | L: DEN
1979-11-18 | w: LAC | L: MIL
1979-11-18 | w: BKN | L: SAS
1979-11-20 | w: ATL | L: DET
1979-11-20 | w: DEN | L: CHI
1979-11-20 | w: POR | L: LAL
1979-11-20 | w: CLE | L: UTA
1979-11-20 | w: SAC | L: GSW
1979-11-20 | w: PHI | L: SAS
1979-11-20 | w: LAC | L: PHX
1979-11-20 | w: NYK | L: HOU
1979-11-21 | w: BOS | L: BKN
1979-11-21 | w: DET | L: UTA
1979-11-21 | w: CLE | L: WAS
1979-11-21 | w: OKC | L: LAL
1979-11-21 | w: HOU | L: PHI
1979-11-21 | w: PHX | L: SAC
1979-11-21 | w: MIL | L: ATL
1979-11-21 | w: DEN | L: LAC
1979-11-21 | w: IND | L: NYK
1979-11-22 | w: CLE | L: GSW
1979-11-22 | w: MIL | L: BKN
1979-11-23 | w: BOS | L: IND
1979-11-23 | w: DET | L: MIL
1979-11-23 | w: OKC | L: POR
1979-11-23 | w: CHI | L: ATL
1979-11-23 | w: PHX | L: LAL
1979-11-23 | w: PHI | L: HOU
1979-11-23 | w: SAS | L: WAS
1979-11-23 | w: SAC | L: LAC
1979-11-24 | w: BOS | L: ATL
1979-11-24 | w: NYK | L: CLE
1979-11-24 | w: WAS | L: HOU
1979-11-24 | w: GSW | L: CHI
1979-11-24 | w: PHI | L: BKN
1979-11-24 | w: PHX | L: DEN
1979-11-24 | w: IND | L: DET
1979-11-25 | w: LAL | L: SAC
1979-11-25 | w: MIL | L: GSW
1979-11-25 | w: PHX | L: POR
1979-11-25 | w: CLE | L: BKN
1979-11-26 | w: PHI | L: IND
1979-11-27 | w: DEN | L: WAS
