============ Start of Season ============
1989-11-28 | w: SAS | L: OKC
1989-11-28 | w: CHI | L: ATL
1989-11-28 | w: CLE | L: WAS
1989-11-28 | w: HOU | L: LAL
1989-11-28 | w: ORL | L: MIA
1989-11-28 | w: POR | L: LAC
1989-11-28 | w: DET | L: SAC
1989-11-28 | w: DEN | L: GSW
1989-11-29 | w: PHI | L: CLE
1989-11-29 | w: NYK | L: GSW
1989-11-29 | w: DET | L: PHX
1989-11-29 | w: BOS | L: BKN
1989-11-29 | w: MIL | L: LAC
1989-11-29 | w: MIN | L: MIA
1989-11-29 | w: IND | L: UTA
1989-11-29 | w: DAL | L: CHA
1989-11-29 | w: ATL | L: WAS
1989-11-30 | w: SAS | L: DAL
1989-11-30 | w: HOU | L: CHA
1989-11-30 | w: ORL | L: MIN
1989-11-30 | w: LAL | L: SAC
1989-11-30 | w: DEN | L: MIL
1989-11-30 | w: OKC | L: NYK
1989-12-01 | w: DET | L: LAL
1989-12-01 | w: PHX | L: LAC
1989-12-01 | w: BOS | L: CLE
1989-12-01 | w: BKN | L: MIA
1989-12-01 | w: POR | L: GSW
1989-12-01 | w: IND | L: ORL
1989-12-01 | w: ATL | L: UTA
1989-12-01 | w: WAS | L: PHI
1989-12-02 | w: GSW | L: MIL
1989-12-02 | w: UTA | L: WAS
1989-12-02 | w: OKC | L: DET
1989-12-02 | w: DAL | L: HOU
1989-12-02 | w: NYK | L: PHX
1989-12-02 | w: MIN | L: CLE
1989-12-02 | w: SAS | L: CHA
1989-12-02 | w: DEN | L: POR
1989-12-02 | w: LAC | L: SAC
1989-12-02 | w: CHI | L: MIA
1989-12-02 | w: ATL | L: PHI
1989-12-03 | w: LAL | L: NYK
1989-12-04 | w: POR | L: ORL
1989-12-05 | w: LAL | L: LAC
1989-12-05 | w: CHI | L: DEN
1989-12-05 | w: NYK | L: PHI
1989-12-05 | w: UTA | L: CLE
1989-12-05 | w: POR | L: MIA
1989-12-05 | w: DAL | L: GSW
1989-12-05 | w: SAC | L: MIL
1989-12-05 | w: MIN | L: BKN
1989-12-05 | w: BOS | L: CHA
1989-12-05 | w: OKC | L: HOU
1989-12-06 | w: PHI | L: MIA
1989-12-06 | w: SAS | L: GSW
1989-12-06 | w: BOS | L: NYK
1989-12-06 | w: ATL | L: ORL
1989-12-06 | w: DET | L: WAS
1989-12-06 | w: IND | L: DEN
1989-12-07 | w: LAL | L: PHX
1989-12-07 | w: LAC | L: CLE
1989-12-07 | w: UTA | L: DAL
1989-12-07 | w: POR | L: CHA
1989-12-08 | w: PHI | L: DET
1989-12-08 | w: SAC | L: GSW
