============ Start of Season ============
1971-11-07 | w: LAL | L: NYK
1971-11-07 | w: GSW | L: OKC
1971-11-07 | w: WAS | L: HOU
1971-11-07 | w: CLE | L: POR
1971-11-08 | w: BOS | L: SAC
1971-11-09 | w: GSW | L: HOU
1971-11-09 | w: LAL | L: CHI
1971-11-09 | w: MIL | L: PHX
1971-11-09 | w: LAC | L: POR
1971-11-10 | w: MIL | L: ATL
1971-11-10 | w: DET | L: POR
1971-11-10 | w: CHI | L: WAS
1971-11-10 | w: BOS | L: HOU
1971-11-10 | w: LAL | L: PHI
1971-11-10 | w: SAC | L: NYK
1971-11-11 | w: GSW | L: NYK
1971-11-11 | w: OKC | L: CLE
1971-11-12 | w: LAL | L: OKC
1971-11-12 | w: ATL | L: GSW
1971-11-12 | w: PHX | L: BOS
1971-11-12 | w: MIL | L: HOU
1971-11-12 | w: CLE | L: POR
1971-11-12 | w: PHI | L: DET
1971-11-13 | w: NYK | L: DET
1971-11-13 | w: WAS | L: PHI
1971-11-13 | w: OKC | L: BOS
1971-11-13 | w: CHI | L: HOU
1971-11-13 | w: LAL | L: POR
1971-11-13 | w: MIL | L: LAC
1971-11-13 | w: SAC | L: GSW
1971-11-14 | w: LAL | L: BOS
1971-11-14 | w: PHX | L: CLE
1971-11-14 | w: MIL | L: PHI
1971-11-16 | w: LAL | L: CLE
1971-11-16 | w: NYK | L: PHX
1971-11-16 | w: GSW | L: DET
1971-11-16 | w: WAS | L: HOU
1971-11-16 | w: CHI | L: OKC
1971-11-16 | w: MIL | L: POR
1971-11-16 | w: LAC | L: SAC
1971-11-17 | w: OKC | L: ATL
1971-11-17 | w: BOS | L: PHX
1971-11-17 | w: HOU | L: PHI
1971-11-17 | w: WAS | L: SAC
1971-11-18 | w: GSW | L: POR
1971-11-18 | w: DET | L: PHX
1971-11-19 | w: LAL | L: HOU
1971-11-19 | w: SAC | L: BOS
1971-11-19 | w: WAS | L: LAC
1971-11-19 | w: MIL | L: OKC
1971-11-19 | w: POR | L: CLE
1971-11-19 | w: CHI | L: PHI
1971-11-20 | w: ATL | L: PHX
1971-11-20 | w: GSW | L: MIL
1971-11-20 | w: NYK | L: WAS
1971-11-20 | w: CHI | L: BOS
1971-11-20 | w: OKC | L: POR
1971-11-20 | w: DET | L: LAC
1971-11-21 | w: LAL | L: MIL
1971-11-21 | w: HOU | L: GSW
1971-11-21 | w: OKC | L: PHI
1971-11-21 | w: BOS | L: CLE
1971-11-23 | w: NYK | L: SAC
1971-11-23 | w: MIL | L: DET
1971-11-23 | w: PHX | L: PHI
1971-11-23 | w: CHI | L: POR
1971-11-23 | w: CLE | L: WAS
1971-11-23 | w: LAC | L: ATL
1971-11-24 | w: BOS | L: LAC
1971-11-24 | w: NYK | L: WAS
1971-11-24 | w: HOU | L: PHI
1971-11-24 | w: MIL | L: ATL
1971-11-24 | w: SAC | L: POR
1971-11-25 | w: PHI | L: GSW
1971-11-25 | w: LAL | L: OKC
1971-11-25 | w: PHX | L: DET
1971-11-26 | w: LAL | L: DET
1971-11-26 | w: WAS | L: ATL
1971-11-26 | w: NYK | L: BOS
1971-11-26 | w: CHI | L: GSW
1971-11-26 | w: MIL | L: POR
1971-11-26 | w: CLE | L: SAC
1971-11-27 | w: CLE | L: ATL
1971-11-27 | w: NYK | L: CHI
1971-11-27 | w: WAS | L: BOS
1971-11-27 | w: OKC | L: DET
1971-11-27 | w: PHI | L: POR
1971-11-27 | w: GSW | L: LAC
1971-11-27 | w: MIL | L: SAC
1971-11-28 | w: LAL | L: OKC
1971-11-28 | w: BOS | L: ATL
1971-11-28 | w: PHX | L: HOU
1971-11-28 | w: CLE | L: PHI
1971-11-30 | w: OKC | L: NYK
1971-11-30 | w: SAC | L: WAS
1971-11-30 | w: CHI | L: ATL
1971-11-30 | w: GSW | L: MIL
1971-11-30 | w: PHX | L: POR
1971-11-30 | w: HOU | L: LAC
1971-12-01 | w: LAL | L: BOS
1971-12-01 | w: ATL | L: DET
1971-12-01 | w: PHX | L: POR
1971-12-01 | w: CLE | L: HOU
1971-12-01 | w: PHI | L: OKC
1971-12-01 | w: CHI | L: SAC
1971-12-02 | w: LAC | L: WAS
1971-12-03 | w: DET | L: HOU
1971-12-03 | w: OKC | L: WAS
1971-12-03 | w: CHI | L: NYK
1971-12-03 | w: MIL | L: SAC
1971-12-03 | w: POR | L: GSW
1971-12-03 | w: LAL | L: PHI
1971-12-03 | w: LAC | L: CLE
1971-12-04 | w: ATL | L: PHI
1971-12-04 | w: BOS | L: HOU
1971-12-04 | w: PHX | L: GSW
1971-12-04 | w: NYK | L: LAC
