============ Start of Season ============
1965-12-30 | w: BOS | L: GSW
1965-12-30 | w: DET | L: LAL
1966-01-01 | w: ATL | L: BOS
1966-01-01 | w: NYK | L: SAC
1966-01-01 | w: WAS | L: DET
1966-01-02 | w: BOS | L: LAL
1966-01-02 | w: GSW | L: DET
1966-01-02 | w: PHI | L: NYK
1966-01-02 | w: SAC | L: WAS
1966-01-03 | w: SAC | L: ATL
1966-01-04 | w: GSW | L: WAS
1966-01-04 | w: PHI | L: NYK
1966-01-05 | w: GSW | L: NYK
1966-01-05 | w: LAL | L: BOS
1966-01-05 | w: WAS | L: ATL
1966-01-05 | w: SAC | L: DET
1966-01-06 | w: PHI | L: WAS
1966-01-06 | w: SAC | L: DET
1966-01-07 | w: BOS | L: GSW
1966-01-07 | w: DET | L: ATL
1966-01-07 | w: LAL | L: PHI
1966-01-08 | w: ATL | L: PHI
1966-01-08 | w: BOS | L: GSW
1966-01-08 | w: NYK | L: LAL
1966-01-08 | w: SAC | L: WAS
1966-01-09 | w: PHI | L: ATL
1966-01-09 | w: LAL | L: DET
1966-01-09 | w: WAS | L: NYK
1966-01-12 | w: BOS | L: LAL
1966-01-12 | w: GSW | L: NYK
1966-01-12 | w: DET | L: PHI
1966-01-13 | w: SAC | L: ATL
1966-01-14 | w: WAS | L: ATL
1966-01-14 | w: LAL | L: GSW
1966-01-14 | w: PHI | L: BOS
1966-01-15 | w: LAL | L: NYK
1966-01-15 | w: DET | L: WAS
1966-01-16 | w: ATL | L: WAS
1966-01-16 | w: BOS | L: PHI
1966-01-16 | w: SAC | L: DET
1966-01-17 | w: ATL | L: NYK
1966-01-18 | w: ATL | L: NYK
1966-01-18 | w: DET | L: BOS
1966-01-18 | w: PHI | L: WAS
1966-01-18 | w: SAC | L: LAL
1966-01-19 | w: PHI | L: DET
1966-01-19 | w: BOS | L: WAS
1966-01-20 | w: ATL | L: DET
1966-01-20 | w: WAS | L: LAL
1966-01-21 | w: GSW | L: LAL
1966-01-21 | w: BOS | L: SAC
1966-01-21 | w: DET | L: ATL
1966-01-21 | w: PHI | L: NYK
1966-01-22 | w: ATL | L: NYK
1966-01-22 | w: WAS | L: BOS
1966-01-23 | w: PHI | L: ATL
1966-01-24 | w: PHI | L: ATL
1966-01-24 | w: SAC | L: GSW
1966-01-25 | w: PHI | L: LAL
1966-01-25 | w: ATL | L: GSW
1966-01-25 | w: NYK | L: DET
1966-01-25 | w: SAC | L: BOS
1966-01-26 | w: NYK | L: GSW
1966-01-26 | w: LAL | L: DET
1966-01-27 | w: BOS | L: DET
1966-01-28 | w: LAL | L: WAS
1966-01-28 | w: GSW | L: ATL
1966-01-28 | w: DET | L: BOS
1966-01-28 | w: PHI | L: SAC
1966-01-29 | w: GSW | L: WAS
1966-01-29 | w: BOS | L: NYK
1966-01-29 | w: SAC | L: ATL
1966-01-30 | w: LAL | L: WAS
1966-01-30 | w: ATL | L: SAC
1966-01-30 | w: BOS | L: NYK
1966-01-30 | w: PHI | L: DET
1966-01-31 | w: GSW | L: WAS
1966-02-01 | w: BOS | L: DET
1966-02-01 | w: GSW | L: SAC
1966-02-01 | w: NYK | L: WAS
1966-02-02 | w: LAL | L: SAC
1966-02-02 | w: ATL | L: PHI
1966-02-02 | w: DET | L: BOS
1966-02-03 | w: WAS | L: ATL
1966-02-04 | w: LAL | L: SAC
1966-02-04 | w: BOS | L: ATL
1966-02-04 | w: NYK | L: DET
1966-02-05 | w: NYK | L: PHI
1966-02-05 | w: WAS | L: BOS
1966-02-06 | w: ATL | L: LAL
1966-02-06 | w: BOS | L: PHI
1966-02-06 | w: SAC | L: GSW
1966-02-07 | w: BOS | L: GSW
1966-02-07 | w: DET | L: SAC
1966-02-07 | w: WAS | L: ATL
1966-02-07 | w: PHI | L: LAL
1966-02-08 | w: GSW | L: DET
1966-02-08 | w: NYK | L: PHI
1966-02-08 | w: SAC | L: WAS
1966-02-09 | w: BOS | L: NYK
1966-02-09 | w: PHI | L: DET
1966-02-09 | w: LAL | L: WAS
1966-02-10 | w: GSW | L: BOS
1966-02-11 | w: NYK | L: DET
1966-02-11 | w: BOS | L: GSW
1966-02-11 | w: PHI | L: SAC
1966-02-12 | w: BOS | L: PHI
1966-02-12 | w: NYK | L: LAL
1966-02-12 | w: WAS | L: GSW
1966-02-12 | w: SAC | L: DET
1966-02-13 | w: ATL | L: SAC
1966-02-13 | w: LAL | L: BOS
1966-02-14 | w: NYK | L: GSW
1966-02-14 | w: PHI | L: DET
1966-02-15 | w: LAL | L: NYK
1966-02-15 | w: WAS | L: DET
1966-02-15 | w: PHI | L: ATL
1966-02-15 | w: SAC | L: BOS
1966-02-16 | w: NYK | L: GSW
1966-02-17 | w: PHI | L: LAL
1966-02-18 | w: GSW | L: BOS
1966-02-18 | w: DET | L: NYK
1966-02-18 | w: WAS | L: SAC
1966-02-19 | w: BOS | L: LAL
1966-02-19 | w: PHI | L: GSW
1966-02-19 | w: NYK | L: SAC
1966-02-20 | w: ATL | L: WAS
1966-02-20 | w: SAC | L: DET
1966-02-21 | w: BOS | L: LAL
1966-02-21 | w: SAC | L: PHI
1966-02-22 | w: PHI | L: DET
1966-02-22 | w: BOS | L: GSW
1966-02-22 | w: NYK | L: ATL
1966-02-23 | w: NYK | L: DET
1966-02-23 | w: LAL | L: SAC
1966-02-23 | w: WAS | L: PHI
1966-02-24 | w: BOS | L: ATL
1966-02-25 | w: GSW | L: SAC
1966-02-25 | w: PHI | L: NYK
1966-02-26 | w: PHI | L: WAS
1966-02-26 | w: SAC | L: GSW
1966-02-26 | w: BOS | L: NYK
1966-02-26 | w: LAL | L: DET
1966-02-27 | w: ATL | L: DET
1966-02-27 | w: WAS | L: BOS
1966-02-28 | w: ATL | L: DET
1966-03-01 | w: DET | L: WAS
1966-03-01 | w: BOS | L: ATL
1966-03-01 | w: GSW | L: NYK
1966-03-01 | w: SAC | L: PHI
1966-03-02 | w: BOS | L: NYK
1966-03-02 | w: DET | L: GSW
1966-03-02 | w: WAS | L: LAL
1966-03-03 | w: PHI | L: GSW
1966-03-04 | w: ATL | L: BOS
1966-03-04 | w: LAL | L: WAS
1966-03-04 | w: NYK | L: DET
1966-03-04 | w: PHI | L: SAC
1966-03-05 | w: LAL | L: GSW
1966-03-05 | w: PHI | L: BOS
1966-03-05 | w: SAC | L: NYK
1966-03-06 | w: LAL | L: WAS
1966-03-06 | w: ATL | L: NYK
1966-03-06 | w: PHI | L: BOS
1966-03-06 | w: SAC | L: DET
1966-03-07 | w: BOS | L: ATL
1966-03-08 | w: PHI | L: ATL
1966-03-08 | w: WAS | L: GSW
1966-03-08 | w: NYK | L: LAL
1966-03-09 | w: LAL | L: SAC
1966-03-09 | w: GSW | L: WAS
1966-03-09 | w: PHI | L: ATL
1966-03-10 | w: BOS | L: SAC
1966-03-11 | w: WAS | L: NYK
1966-03-11 | w: DET | L: LAL
1966-03-12 | w: PHI | L: NYK
1966-03-12 | w: ATL | L: SAC
1966-03-13 | w: ATL | L: SAC
1966-03-13 | w: BOS | L: WAS
1966-03-13 | w: GSW | L: DET
1966-03-13 | w: PHI | L: NYK
1966-03-15 | w: LAL | L: DET
1966-03-15 | w: ATL | L: GSW
1966-03-15 | w: SAC | L: NYK
1966-03-16 | w: WAS | L: NYK
1966-03-17 | w: GSW | L: ATL
1966-03-17 | w: BOS | L: DET
1966-03-17 | w: PHI | L: NYK
1966-03-18 | w: LAL | L: ATL
1966-03-18 | w: WAS | L: SAC
1966-03-19 | w: ATL | L: DET
1966-03-19 | w: GSW | L: LAL
1966-03-19 | w: BOS | L: NYK
1966-03-19 | w: PHI | L: SAC
1966-03-20 | w: LAL | L: GSW
1966-03-20 | w: BOS | L: SAC
1966-03-20 | w: ATL | L: DET
1966-03-20 | w: PHI | L: WAS
1966-03-22 | w: NYK | L: ATL
============ End of Regular Season ============
1966-03-23 | w: SAC | L: BOS
1966-03-24 | w: ATL | L: WAS
1966-03-26 | w: BOS | L: SAC
1966-03-27 | w: SAC | L: BOS
1966-03-27 | w: ATL | L: WAS
1966-03-30 | w: ATL | L: WAS
1966-03-30 | w: BOS | L: SAC
1966-04-01 | w: LAL | L: ATL
1966-04-01 | w: BOS | L: SAC
1966-04-03 | w: LAL | L: ATL
1966-04-03 | w: BOS | L: PHI
1966-04-06 | w: ATL | L: LAL
1966-04-06 | w: BOS | L: PHI
1966-04-07 | w: PHI | L: BOS
1966-04-09 | w: LAL | L: ATL
1966-04-10 | w: ATL | L: LAL
1966-04-10 | w: BOS | L: PHI
1966-04-12 | w: BOS | L: PHI
1966-04-13 | w: ATL | L: LAL
1966-04-15 | w: LAL | L: ATL
1966-04-17 | w: LAL | L: BOS
1966-04-19 | w: BOS | L: LAL
1966-04-20 | w: BOS | L: LAL
1966-04-22 | w: BOS | L: LAL
1966-04-24 | w: LAL | L: BOS
1966-04-26 | w: LAL | L: BOS
1966-04-28 | w: BOS | L: LAL
============ End of Playoffs ============
