============ Start of Season ============
1987-12-16 | w: DEN | L: HOU
1987-12-16 | w: DAL | L: BKN
1987-12-16 | w: PHI | L: SAS
1987-12-17 | w: PHI | L: NYK
1987-12-17 | w: LAL | L: GSW
1987-12-17 | w: OKC | L: SAC
1987-12-17 | w: CHI | L: CLE
1987-12-17 | w: LAC | L: HOU
1987-12-17 | w: WAS | L: IND
1987-12-18 | w: DET | L: DAL
1987-12-18 | w: POR | L: PHX
1987-12-18 | w: ATL | L: MIL
1987-12-18 | w: CLE | L: BKN
1987-12-18 | w: SAS | L: DEN
1987-12-18 | w: IND | L: UTA
1987-12-19 | w: OKC | L: GSW
1987-12-19 | w: NYK | L: BKN
1987-12-19 | w: WAS | L: CHI
1987-12-19 | w: DEN | L: HOU
1987-12-19 | w: LAL | L: LAC
1987-12-19 | w: ATL | L: UTA
1987-12-19 | w: PHI | L: DAL
1987-12-20 | w: LAL | L: OKC
1987-12-20 | w: POR | L: SAS
1987-12-20 | w: CLE | L: IND
1987-12-20 | w: PHX | L: SAC
1987-12-20 | w: BOS | L: PHI
1987-12-21 | w: BKN | L: UTA
1987-12-22 | w: POR | L: GSW
1987-12-22 | w: CLE | L: WAS
1987-12-22 | w: HOU | L: ATL
1987-12-22 | w: DAL | L: CHI
1987-12-22 | w: MIL | L: NYK
1987-12-22 | w: SAC | L: SAS
1987-12-22 | w: DEN | L: PHX
1987-12-22 | w: BOS | L: PHI
1987-12-23 | w: LAL | L: SAC
1987-12-23 | w: GSW | L: DEN
1987-12-23 | w: NYK | L: CHI
1987-12-23 | w: OKC | L: PHX
1987-12-23 | w: UTA | L: CLE
1987-12-23 | w: DAL | L: IND
1987-12-23 | w: SAS | L: LAC
1987-12-23 | w: PHI | L: BKN
1987-12-25 | w: DET | L: NYK
1987-12-25 | w: ATL | L: PHI
1987-12-26 | w: ATL | L: NYK
1987-12-26 | w: DET | L: BKN
1987-12-26 | w: SAC | L: PHX
1987-12-26 | w: MIL | L: WAS
1987-12-26 | w: CLE | L: POR
1987-12-26 | w: LAL | L: UTA
1987-12-26 | w: SAS | L: GSW
1987-12-26 | w: IND | L: CHI
1987-12-26 | w: DEN | L: OKC
1987-12-26 | w: BOS | L: LAC
1987-12-26 | w: DAL | L: HOU
1987-12-27 | w: BOS | L: SAC
1987-12-27 | w: BKN | L: CLE
1987-12-28 | w: OKC | L: DEN
1987-12-28 | w: PHX | L: PHI
1987-12-29 | w: NYK | L: POR
1987-12-29 | w: HOU | L: DET
1987-12-29 | w: ATL | L: CHI
1987-12-29 | w: UTA | L: DEN
1987-12-29 | w: MIL | L: BKN
1987-12-29 | w: DAL | L: SAC
1987-12-29 | w: LAL | L: PHI
1987-12-30 | w: POR | L: WAS
1987-12-30 | w: OKC | L: BOS
1987-12-30 | w: HOU | L: MIL
1987-12-30 | w: ATL | L: CLE
1987-12-30 | w: SAS | L: SAC
1987-12-30 | w: UTA | L: GSW
1987-12-30 | w: DET | L: IND
1987-12-30 | w: PHX | L: LAC
1988-01-01 | w: NYK | L: LAC
1988-01-01 | w: DEN | L: WAS
1988-01-01 | w: POR | L: PHI
1988-01-02 | w: BOS | L: GSW
1988-01-02 | w: DEN | L: DET
1988-01-02 | w: HOU | L: WAS
1988-01-02 | w: CHI | L: BKN
1988-01-02 | w: IND | L: MIL
1988-01-02 | w: CLE | L: PHX
1988-01-02 | w: SAC | L: UTA
1988-01-02 | w: DAL | L: SAS
1988-01-02 | w: OKC | L: PHI
1988-01-03 | w: ATL | L: LAC
1988-01-03 | w: LAL | L: POR
1988-01-04 | w: PHI | L: PHX
1988-01-04 | w: CLE | L: DEN
1988-01-04 | w: LAL | L: SAS
1988-01-04 | w: HOU | L: DAL
1988-01-04 | w: BOS | L: UTA
1988-01-05 | w: ATL | L: DET
1988-01-05 | w: GSW | L: SAS
1988-01-05 | w: PHX | L: NYK
1988-01-05 | w: WAS | L: BKN
1988-01-05 | w: CHI | L: IND
1988-01-05 | w: MIL | L: LAC
1988-01-05 | w: POR | L: OKC
1988-01-06 | w: LAL | L: DAL
1988-01-06 | w: BOS | L: NYK
1988-01-06 | w: DET | L: ATL
1988-01-06 | w: OKC | L: HOU
1988-01-06 | w: CLE | L: LAC
1988-01-06 | w: DEN | L: BKN
1988-01-06 | w: PHI | L: UTA
1988-01-07 | w: HOU | L: GSW
1988-01-07 | w: CHI | L: DEN
1988-01-07 | w: DAL | L: PHX
1988-01-07 | w: SAS | L: SAC
1988-01-07 | w: IND | L: MIL
1988-01-08 | w: ATL | L: CLE
1988-01-08 | w: BOS | L: WAS
1988-01-08 | w: LAL | L: DET
1988-01-08 | w: UTA | L: MIL
1988-01-08 | w: POR | L: SAC
1988-01-08 | w: BKN | L: NYK
1988-01-08 | w: PHI | L: LAC
1988-01-09 | w: ATL | L: DEN
1988-01-09 | w: DAL | L: GSW
1988-01-09 | w: NYK | L: BOS
1988-01-09 | w: WAS | L: LAC
1988-01-09 | w: OKC | L: SAS
1988-01-09 | w: HOU | L: PHX
1988-01-09 | w: CHI | L: UTA
1988-01-09 | w: LAL | L: IND
1988-01-09 | w: PHI | L: CLE
1988-01-10 | w: MIL | L: BKN
1988-01-10 | w: SAC | L: OKC
1988-01-11 | w: PHX | L: DEN
1988-01-11 | w: IND | L: LAC
1988-01-12 | w: LAL | L: GSW
1988-01-12 | w: BOS | L: CHI
1988-01-12 | w: CLE | L: NYK
1988-01-12 | w: MIL | L: PHI
1988-01-13 | w: BOS | L: DET
1988-01-13 | w: OKC | L: GSW
1988-01-13 | w: PHX | L: HOU
1988-01-13 | w: UTA | L: POR
1988-01-13 | w: ATL | L: SAS
1988-01-13 | w: DAL | L: IND
1988-01-13 | w: LAC | L: LAL
1988-01-13 | w: PHI | L: BKN
1988-01-14 | w: WAS | L: MIL
1988-01-14 | w: HOU | L: POR
1988-01-14 | w: DEN | L: ATL
1988-01-14 | w: BKN | L: SAC
1988-01-14 | w: CLE | L: CHI
1988-01-15 | w: BOS | L: SAC
1988-01-15 | w: GSW | L: LAC
1988-01-15 | w: DET | L: CLE
1988-01-15 | w: OKC | L: UTA
1988-01-15 | w: IND | L: SAS
1988-01-15 | w: PHI | L: NYK
1988-01-16 | w: HOU | L: IND
1988-01-16 | w: CHI | L: DET
1988-01-16 | w: LAL | L: PHX
1988-01-16 | w: POR | L: SAS
1988-01-16 | w: DEN | L: GSW
1988-01-16 | w: BOS | L: BKN
1988-01-16 | w: ATL | L: DAL
1988-01-16 | w: OKC | L: LAC
1988-01-16 | w: NYK | L: PHI
1988-01-17 | w: WAS | L: SAC
1988-01-17 | w: MIL | L: CLE
1988-01-18 | w: LAL | L: HOU
1988-01-18 | w: BOS | L: GSW
1988-01-18 | w: NYK | L: ATL
1988-01-18 | w: OKC | L: IND
1988-01-18 | w: CHI | L: WAS
1988-01-18 | w: DET | L: DEN
1988-01-18 | w: DAL | L: LAC
1988-01-18 | w: BKN | L: PHX
1988-01-19 | w: ATL | L: CHI
1988-01-19 | w: DAL | L: POR
1988-01-19 | w: SAC | L: HOU
1988-01-19 | w: SAS | L: MIL
1988-01-20 | w: BOS | L: PHX
1988-01-20 | w: OKC | L: NYK
1988-01-20 | w: DET | L: UTA
1988-01-20 | w: LAC | L: IND
1988-01-20 | w: GSW | L: BKN
1988-01-20 | w: WAS | L: PHI
1988-01-21 | w: HOU | L: MIL
1988-01-21 | w: ATL | L: CLE
1988-01-21 | w: DEN | L: LAL
1988-01-22 | w: LAL | L: NYK
1988-01-22 | w: BOS | L: ATL
1988-01-22 | w: WAS | L: GSW
1988-01-22 | w: OKC | L: DET
1988-01-22 | w: CHI | L: PHX
1988-01-22 | w: POR | L: DEN
1988-01-22 | w: UTA | L: SAS
1988-01-22 | w: IND | L: BKN
1988-01-22 | w: DAL | L: LAC
1988-01-23 | w: CHI | L: GSW
1988-01-23 | w: CLE | L: BOS
1988-01-23 | w: SAC | L: NYK
1988-01-23 | w: SAS | L: LAC
1988-01-23 | w: DAL | L: MIL
1988-01-24 | w: ATL | L: BKN
1988-01-24 | w: LAL | L: OKC
1988-01-24 | w: POR | L: DET
1988-01-24 | w: IND | L: PHX
1988-01-24 | w: WAS | L: PHI
1988-01-25 | w: MIL | L: GSW
1988-01-25 | w: UTA | L: CLE
1988-01-25 | w: WAS | L: PHI
1988-01-26 | w: LAL | L: UTA
1988-01-26 | w: BOS | L: ATL
1988-01-26 | w: NYK | L: BKN
1988-01-26 | w: HOU | L: LAC
1988-01-26 | w: POR | L: MIL
1988-01-26 | w: OKC | L: SAC
1988-01-26 | w: IND | L: CHI
1988-01-26 | w: DAL | L: SAS
1988-01-27 | w: BOS | L: WAS
1988-01-27 | w: GSW | L: POR
1988-01-27 | w: DET | L: IND
1988-01-27 | w: DAL | L: PHX
1988-01-27 | w: CLE | L: SAS
1988-01-27 | w: CHI | L: PHI
1988-01-28 | w: WAS | L: NYK
1988-01-28 | w: CLE | L: HOU
1988-01-28 | w: LAL | L: SAC
1988-01-28 | w: DEN | L: MIL
1988-01-29 | w: LAL | L: ATL
1988-01-29 | w: GSW | L: UTA
1988-01-29 | w: DET | L: BOS
1988-01-29 | w: CHI | L: BKN
1988-01-29 | w: POR | L: PHX
1988-01-29 | w: MIL | L: LAC
1988-01-29 | w: DAL | L: OKC
1988-01-29 | w: PHI | L: IND
1988-01-30 | w: SAC | L: PHX
1988-01-30 | w: UTA | L: ATL
1988-01-30 | w: DEN | L: LAC
1988-01-30 | w: BKN | L: DET
1988-01-30 | w: HOU | L: DAL
1988-01-30 | w: CHI | L: NYK
1988-01-30 | w: SAS | L: OKC
1988-01-30 | w: CLE | L: WAS
1988-01-31 | w: BOS | L: PHI
1988-02-01 | w: CLE | L: DET
1988-02-01 | w: SAC | L: CHI
1988-02-01 | w: UTA | L: OKC
1988-02-01 | w: IND | L: GSW
1988-02-01 | w: BKN | L: DAL
1988-02-02 | w: LAL | L: CHI
1988-02-02 | w: NYK | L: WAS
1988-02-02 | w: HOU | L: PHX
1988-02-02 | w: DET | L: MIL
1988-02-02 | w: POR | L: ATL
1988-02-02 | w: SAS | L: BKN
1988-02-03 | w: BOS | L: IND
1988-02-03 | w: CLE | L: WAS
1988-02-03 | w: UTA | L: SAC
1988-02-03 | w: DEN | L: DAL
1988-02-03 | w: PHI | L: GSW
1988-02-04 | w: NYK | L: DET
1988-02-04 | w: ATL | L: OKC
1988-02-04 | w: HOU | L: BKN
1988-02-04 | w: CHI | L: PHX
1988-02-04 | w: MIL | L: BOS
1988-02-04 | w: UTA | L: POR
