============ Start of Season ============
1949-12-11 | w: AND | L: WAT
1949-12-11 | w: ATL | L: DN
1949-12-12 | w: AND | L: DET
1949-12-13 | w: CHS | L: GSW
1949-12-13 | w: INO | L: ATL
1949-12-13 | w: SAC | L: DN
1949-12-14 | w: NYK | L: LAL
1949-12-14 | w: PHI | L: DET
1949-12-14 | w: GSW | L: WAT
1949-12-14 | w: WAS | L: BOM
1949-12-14 | w: ATL | L: CHS
1949-12-15 | w: DET | L: SAC
1949-12-15 | w: BAL | L: LAL
1949-12-15 | w: SHE | L: ATL
1949-12-15 | w: AND | L: PHI
1949-12-15 | w: BOS | L: BOM
1949-12-16 | w: BOM | L: GSW
1949-12-16 | w: WAT | L: BAL
1949-12-16 | w: CHS | L: SAC
1949-12-16 | w: INO | L: DN
1949-12-17 | w: NYK | L: BOM
1949-12-17 | w: GSW | L: WAT
1949-12-17 | w: SAC | L: CHS
1949-12-17 | w: BAL | L: WAS
1949-12-17 | w: SHE | L: AND
1949-12-18 | w: LAL | L: BOS
1949-12-18 | w: DET | L: BAL
1949-12-18 | w: PHI | L: CHS
1949-12-18 | w: AND | L: ATL
1949-12-18 | w: INO | L: DN
1949-12-19 | w: NYK | L: AND
1949-12-20 | w: PHI | L: WAT
1949-12-20 | w: SAC | L: LAL
1949-12-20 | w: CHS | L: NYK
1949-12-20 | w: BAL | L: INO
1949-12-21 | w: GSW | L: BAL
1949-12-21 | w: PHI | L: ATL
1949-12-21 | w: LAL | L: WAS
1949-12-21 | w: BOM | L: NYK
1949-12-21 | w: CHS | L: WAT
1949-12-22 | w: BOS | L: LAL
1949-12-22 | w: DET | L: BOM
1949-12-22 | w: BAL | L: WAS
1949-12-22 | w: INO | L: CHS
1949-12-22 | w: PHI | L: SHE
1949-12-22 | w: AND | L: WAT
1949-12-23 | w: NYK | L: DN
1949-12-23 | w: WAS | L: BOS
1949-12-25 | w: LAL | L: DET
1949-12-25 | w: PHI | L: AND
1949-12-25 | w: WAT | L: INO
1949-12-25 | w: GSW | L: BAL
1949-12-25 | w: SAC | L: BOS
1949-12-25 | w: WAS | L: BOM
1949-12-25 | w: SHE | L: DN
1949-12-26 | w: BOS | L: BAL
1949-12-26 | w: SAC | L: NYK
1949-12-26 | w: DET | L: CHS
1949-12-26 | w: LAL | L: ATL
1949-12-26 | w: AND | L: WAS
1949-12-27 | w: BOS | L: NYK
1949-12-27 | w: SAC | L: WAS
1949-12-27 | w: INO | L: AND
1949-12-28 | w: LAL | L: BAL
1949-12-28 | w: NYK | L: GSW
1949-12-28 | w: CHS | L: WAT
1949-12-28 | w: WAS | L: PHI
1949-12-28 | w: DET | L: ATL
1949-12-29 | w: PHI | L: GSW
1949-12-29 | w: SAC | L: DET
1949-12-29 | w: BOM | L: BAL
1949-12-29 | w: SHE | L: WAT
1949-12-29 | w: CHS | L: AND
1949-12-30 | w: BOS | L: DET
1949-12-30 | w: ATL | L: DN
1949-12-31 | w: DET | L: GSW
1949-12-31 | w: SAC | L: BOM
1949-12-31 | w: LAL | L: WAT
1949-12-31 | w: WAS | L: NYK
1950-01-01 | w: NYK | L: GSW
1950-01-01 | w: LAL | L: AND
1950-01-01 | w: PHI | L: WAS
1950-01-01 | w: DET | L: BOS
1950-01-01 | w: CHS | L: DN
1950-01-01 | w: ATL | L: BAL
1950-01-01 | w: INO | L: SHE
1950-01-01 | w: BOM | L: WAT
1950-01-02 | w: AND | L: BAL
1950-01-03 | w: SAC | L: WAS
1950-01-03 | w: SHE | L: WAT
1950-01-03 | w: INO | L: ATL
1950-01-04 | w: LAL | L: DET
1950-01-04 | w: DN | L: AND
1950-01-04 | w: BOM | L: BOS
1950-01-04 | w: SAC | L: WAS
1950-01-05 | w: NYK | L: WAT
1950-01-05 | w: DET | L: BOM
1950-01-05 | w: PHI | L: ATL
1950-01-05 | w: BAL | L: SAC
1950-01-05 | w: SHE | L: LAL
1950-01-05 | w: DN | L: AND
1950-01-06 | w: BOS | L: BAL
1950-01-06 | w: GSW | L: SAC
1950-01-07 | w: DET | L: NYK
1950-01-07 | w: SAC | L: GSW
1950-01-07 | w: INO | L: BAL
1950-01-07 | w: ATL | L: SHE
1950-01-07 | w: WAS | L: WAT
1950-01-08 | w: DET | L: SHE
1950-01-08 | w: PHI | L: WAT
1950-01-08 | w: LAL | L: BOS
1950-01-08 | w: SAC | L: BOM
1950-01-09 | w: AND | L: SHE
1950-01-10 | w: SAC | L: BAL
1950-01-10 | w: WAS | L: CHS
1950-01-10 | w: INO | L: SHE
1950-01-10 | w: BOS | L: DN
1950-01-10 | w: WAT | L: PHI
1950-01-11 | w: NYK | L: WAS
1950-01-11 | w: LAL | L: PHI
1950-01-11 | w: ATL | L: AND
1950-01-12 | w: PHI | L: DET
1950-01-12 | w: SHE | L: DN
1950-01-12 | w: AND | L: WAT
1950-01-12 | w: LAL | L: BOM
1950-01-13 | w: CHS | L: BOS
1950-01-13 | w: WAS | L: GSW
1950-01-13 | w: INO | L: WAT
1950-01-14 | w: NYK | L: BOS
1950-01-14 | w: SAC | L: LAL
1950-01-14 | w: CHS | L: BAL
1950-01-14 | w: WAS | L: GSW
1950-01-14 | w: DN | L: SHE
1950-01-15 | w: LAL | L: SAC
1950-01-15 | w: PHI | L: INO
1950-01-15 | w: DET | L: GSW
1950-01-15 | w: ATL | L: WAT
1950-01-15 | w: BOM | L: DN
1950-01-15 | w: SHE | L: AND
1950-01-16 | w: GSW | L: SHE
1950-01-16 | w: AND | L: DN
1950-01-16 | w: CHS | L: BOM
1950-01-17 | w: LAL | L: BOS
1950-01-17 | w: INO | L: DN
1950-01-18 | w: GSW | L: BOS
1950-01-18 | w: WAT | L: BOM
1950-01-18 | w: LAL | L: WAS
1950-01-18 | w: SAC | L: ATL
1950-01-18 | w: DET | L: SHE
1950-01-19 | w: LAL | L: NYK
1950-01-19 | w: BOS | L: GSW
1950-01-19 | w: PHI | L: DN
1950-01-19 | w: WAS | L: BAL
1950-01-19 | w: SAC | L: AND
1950-01-19 | w: INO | L: WAT
1950-01-19 | w: CHS | L: ATL
1950-01-19 | w: BOM | L: DET
1950-01-20 | w: GSW | L: LAL
1950-01-21 | w: BAL | L: GSW
1950-01-21 | w: WAT | L: DN
1950-01-21 | w: SAC | L: AND
1950-01-21 | w: INO | L: DET
1950-01-21 | w: SHE | L: WAS
1950-01-22 | w: NYK | L: SAC
1950-01-22 | w: LAL | L: CHS
1950-01-22 | w: DET | L: WAS
1950-01-22 | w: BAL | L: SHE
1950-01-22 | w: BOM | L: BOS
1950-01-22 | w: ATL | L: DN
1950-01-22 | w: AND | L: PHI
1950-01-23 | w: ATL | L: AND
