============ Start of Season ============
1953-01-06 | w: ATL | L: DET
1953-01-06 | w: SAC | L: LAL
1953-01-06 | w: GSW | L: INO
1953-01-07 | w: BOS | L: GSW
1953-01-07 | w: PHI | L: NYK
1953-01-08 | w: NYK | L: ATL
1953-01-08 | w: PHI | L: LAL
1953-01-08 | w: BOS | L: SAC
1953-01-09 | w: BAL | L: BOS
1953-01-09 | w: NYK | L: INO
1953-01-10 | w: LAL | L: DET
1953-01-10 | w: PHI | L: GSW
1953-01-10 | w: SAC | L: ATL
1953-01-10 | w: BAL | L: BOS
1953-01-11 | w: BOS | L: BAL
1953-01-11 | w: LAL | L: NYK
1953-01-11 | w: DET | L: INO
1953-01-11 | w: PHI | L: GSW
1953-01-11 | w: ATL | L: SAC
1953-01-14 | w: LAL | L: BAL
1953-01-15 | w: DET | L: BOS
1953-01-15 | w: PHI | L: SAC
1953-01-15 | w: INO | L: ATL
1953-01-16 | w: DET | L: INO
1953-01-16 | w: BOS | L: ATL
1953-01-17 | w: NYK | L: GSW
1953-01-17 | w: SAC | L: LAL
1953-01-17 | w: BAL | L: INO
1953-01-18 | w: BOS | L: NYK
1953-01-18 | w: ATL | L: LAL
1953-01-18 | w: DET | L: SAC
1953-01-18 | w: PHI | L: BAL
1953-01-18 | w: INO | L: GSW
1953-01-20 | w: NYK | L: BOS
1953-01-20 | w: INO | L: SAC
1953-01-21 | w: BOS | L: DET
1953-01-21 | w: ATL | L: NYK
1953-01-21 | w: SAC | L: BAL
1953-01-22 | w: PHI | L: DET
1953-01-23 | w: ATL | L: LAL
1953-01-23 | w: INO | L: BOS
1953-01-24 | w: NYK | L: DET
1953-01-24 | w: ATL | L: INO
1953-01-24 | w: PHI | L: SAC
1953-01-25 | w: LAL | L: BOS
1953-01-25 | w: NYK | L: PHI
1953-01-25 | w: DET | L: ATL
1953-01-25 | w: BAL | L: GSW
1953-01-27 | w: BOS | L: ATL
1953-01-27 | w: LAL | L: DET
1953-01-27 | w: NYK | L: SAC
1953-01-27 | w: INO | L: PHI
1953-01-28 | w: ATL | L: BAL
1953-01-29 | w: PHI | L: LAL
1953-01-29 | w: NYK | L: GSW
1953-01-29 | w: DET | L: BOS
1953-01-29 | w: ATL | L: BAL
1953-01-30 | w: ATL | L: PHI
1953-01-30 | w: SAC | L: DET
1953-01-31 | w: NYK | L: BOS
1953-01-31 | w: LAL | L: DET
1953-01-31 | w: SAC | L: GSW
1953-01-31 | w: BAL | L: INO
1953-02-01 | w: SAC | L: BOS
1953-02-01 | w: NYK | L: GSW
1953-02-01 | w: PHI | L: BAL
1953-02-01 | w: LAL | L: DET
1953-02-02 | w: PHI | L: BAL
1953-02-02 | w: SAC | L: ATL
1953-02-03 | w: NYK | L: ATL
1953-02-03 | w: SAC | L: BAL
1953-02-03 | w: INO | L: LAL
1953-02-04 | w: BOS | L: PHI
1953-02-04 | w: GSW | L: BAL
1953-02-05 | w: LAL | L: NYK
1953-02-05 | w: DET | L: INO
1953-02-05 | w: PHI | L: SAC
1953-02-06 | w: NYK | L: INO
1953-02-07 | w: NYK | L: GSW
1953-02-07 | w: SAC | L: LAL
1953-02-07 | w: BOS | L: BAL
1953-02-08 | w: BOS | L: NYK
1953-02-08 | w: LAL | L: INO
1953-02-08 | w: PHI | L: GSW
