============ Start of Season ============
1990-12-14 | w: CHI | L: LAC
1990-12-14 | w: BOS | L: DET
1990-12-14 | w: SAS | L: CLE
1990-12-14 | w: POR | L: DAL
1990-12-14 | w: WAS | L: HOU
1990-12-15 | w: ATL | L: WAS
1990-12-15 | w: LAL | L: GSW
1990-12-15 | w: OKC | L: DAL
1990-12-15 | w: CHI | L: CLE
1990-12-15 | w: MIL | L: LAC
1990-12-15 | w: SAC | L: ORL
1990-12-15 | w: IND | L: UTA
1990-12-15 | w: PHX | L: DEN
1990-12-15 | w: NYK | L: BKN
1990-12-15 | w: HOU | L: CHA
1990-12-15 | w: BOS | L: MIA
1990-12-15 | w: SAS | L: MIN
1990-12-16 | w: LAL | L: IND
1990-12-16 | w: POR | L: ORL
1990-12-17 | w: UTA | L: BKN
1990-12-17 | w: ATL | L: CLE
1990-12-18 | w: PHI | L: LAC
1990-12-18 | w: CHI | L: MIA
1990-12-18 | w: LAL | L: NYK
1990-12-18 | w: SAS | L: HOU
1990-12-18 | w: POR | L: GSW
1990-12-18 | w: MIL | L: DET
1990-12-18 | w: PHX | L: DAL
1990-12-18 | w: SAC | L: MIN
1990-12-18 | w: UTA | L: CHA
1990-12-18 | w: OKC | L: ORL
1990-12-19 | w: SAS | L: DEN
1990-12-19 | w: PHX | L: MIN
1990-12-19 | w: BOS | L: PHI
1990-12-19 | w: BKN | L: LAC
1990-12-19 | w: CLE | L: LAL
1990-12-19 | w: DET | L: CHI
1990-12-19 | w: NYK | L: MIA
1990-12-19 | w: WAS | L: IND
1990-12-20 | w: GSW | L: POR
1990-12-20 | w: HOU | L: ORL
1990-12-20 | w: ATL | L: UTA
1990-12-20 | w: OKC | L: SAC
1990-12-20 | w: BOS | L: CHA
1990-12-21 | w: CHI | L: LAL
1990-12-21 | w: SAS | L: PHX
1990-12-21 | w: BKN | L: CLE
1990-12-21 | w: POR | L: LAC
1990-12-21 | w: DET | L: ATL
1990-12-21 | w: PHI | L: MIA
1990-12-21 | w: IND | L: CHA
1990-12-21 | w: DAL | L: MIL
1990-12-21 | w: WAS | L: NYK
1990-12-22 | w: GSW | L: MIN
1990-12-22 | w: NYK | L: BKN
1990-12-22 | w: OKC | L: SAC
1990-12-22 | w: HOU | L: PHX
1990-12-22 | w: CHI | L: IND
1990-12-22 | w: WAS | L: CLE
1990-12-22 | w: MIL | L: SAS
1990-12-22 | w: DAL | L: DEN
1990-12-22 | w: UTA | L: ORL
1990-12-22 | w: PHI | L: DET
1990-12-23 | w: LAL | L: MIN
1990-12-23 | w: BOS | L: ATL
1990-12-23 | w: LAC | L: SAC
1990-12-23 | w: MIA | L: UTA
1990-12-23 | w: POR | L: DEN
1990-12-25 | w: CHI | L: DET
1990-12-26 | w: SAS | L: MIA
1990-12-26 | w: POR | L: NYK
1990-12-26 | w: PHX | L: DAL
1990-12-26 | w: BOS | L: IND
1990-12-26 | w: ATL | L: BKN
1990-12-26 | w: OKC | L: CLE
1990-12-26 | w: LAL | L: LAC
1990-12-26 | w: ORL | L: HOU
1990-12-26 | w: DET | L: CHA
1990-12-26 | w: MIL | L: GSW
1990-12-26 | w: DEN | L: SAC
1990-12-26 | w: PHI | L: WAS
1990-12-27 | w: CHI | L: GSW
1990-12-27 | w: UTA | L: DAL
1990-12-27 | w: MIA | L: DEN
1990-12-27 | w: POR | L: CHA
1990-12-27 | w: OKC | L: WAS
1990-12-28 | w: SAS | L: SAC
1990-12-28 | w: PHX | L: PHI
1990-12-28 | w: HOU | L: BKN
1990-12-28 | w: ATL | L: BOS
1990-12-28 | w: DET | L: MIN
1990-12-29 | w: ATL | L: GSW
1990-12-29 | w: MIL | L: NYK
1990-12-29 | w: DET | L: HOU
1990-12-29 | w: WAS | L: DEN
1990-12-29 | w: CHI | L: OKC
1990-12-29 | w: PHX | L: MIA
1990-12-29 | w: POR | L: CLE
1990-12-29 | w: UTA | L: LAC
1990-12-29 | w: IND | L: BKN
1990-12-29 | w: DAL | L: SAC
1990-12-29 | w: CHA | L: ORL
1990-12-30 | w: LAL | L: PHI
1990-12-30 | w: ORL | L: DEN
