============ Start of Season ============
1979-11-03 | w: CLE | L: SAC
1979-11-03 | w: LAC | L: UTH
1979-11-03 | w: MIL | L: CHI
1979-11-03 | w: PHL | L: IND
1979-11-04 | w: OKC | L: MIL
1979-11-04 | w: BKN | L: SAC
1979-11-04 | w: POR | L: SAN
1979-11-06 | w: LAL | L: LAC
1979-11-06 | w: ATL | L: NYK
1979-11-06 | w: OKC | L: CHI
1979-11-06 | w: CLE | L: IND
1979-11-06 | w: SAN | L: BKN
1979-11-06 | w: PHX | L: UTH
1979-11-06 | w: PHL | L: MIL
1979-11-07 | w: BOS | L: SAN
1979-11-07 | w: GOS | L: LAL
1979-11-07 | w: ATL | L: DET
1979-11-07 | w: HOU | L: BKN
1979-11-07 | w: LAC | L: PHX
1979-11-07 | w: PHL | L: SAC
1979-11-07 | w: IND | L: POR
1979-11-07 | w: DEN | L: OKC
1979-11-08 | w: MIL | L: POR
1979-11-08 | w: DEN | L: UTH
1979-11-09 | w: BOS | L: SAC
1979-11-09 | w: DET | L: PHL
1979-11-09 | w: WAS | L: SAN
1979-11-09 | w: CHI | L: LAC
1979-11-09 | w: PHX | L: CLE
1979-11-09 | w: LAL | L: DEN
1979-11-10 | w: ATL | L: WAS
1979-11-10 | w: IND | L: GOS
1979-11-10 | w: SAN | L: NYK
1979-11-10 | w: HOU | L: DET
1979-11-10 | w: POR | L: CHI
1979-11-10 | w: MIL | L: LAC
1979-11-10 | w: PHL | L: BOS
1979-11-10 | w: OKC | L: UTH
1979-11-11 | w: LAL | L: CLE
1979-11-11 | w: PHX | L: DEN
1979-11-11 | w: POR | L: SAC
1979-11-12 | w: IND | L: UTH
1979-11-13 | w: WAS | L: NYK
1979-11-13 | w: HOU | L: CHI
1979-11-13 | w: MIL | L: POR
1979-11-13 | w: SAC | L: PHL
1979-11-13 | w: DEN | L: CLE
1979-11-13 | w: BKN | L: ATL
1979-11-13 | w: LAL | L: LAC
1979-11-13 | w: SAN | L: GOS
1979-11-14 | w: ATL | L: UTH
1979-11-14 | w: BOS | L: DET
1979-11-14 | w: WAS | L: CHI
1979-11-14 | w: OKC | L: MIL
1979-11-14 | w: HOU | L: GOS
1979-11-14 | w: PHX | L: IND
1979-11-15 | w: GOS | L: DEN
1979-11-15 | w: SAC | L: LAL
1979-11-15 | w: SAN | L: NYK
1979-11-16 | w: BOS | L: UTH
1979-11-16 | w: OKC | L: CLE
1979-11-16 | w: HOU | L: NYK
1979-11-16 | w: PHX | L: POR
1979-11-16 | w: SAN | L: PHL
1979-11-16 | w: SAC | L: CHI
1979-11-16 | w: WAS | L: BKN
1979-11-16 | w: LAC | L: IND
1979-11-16 | w: LAL | L: DEN
1979-11-17 | w: HOU | L: ATL
1979-11-17 | w: OKC | L: GOS
1979-11-17 | w: NYK | L: BOS
1979-11-17 | w: BKN | L: DET
1979-11-17 | w: WAS | L: UTH
1979-11-17 | w: POR | L: CLE
1979-11-17 | w: CHI | L: PHL
1979-11-18 | w: LAL | L: IND
1979-11-18 | w: GOS | L: PHX
1979-11-18 | w: POR | L: OKC
1979-11-18 | w: SAC | L: DEN
1979-11-18 | w: LAC | L: MIL
1979-11-18 | w: BKN | L: SAN
1979-11-20 | w: ATL | L: DET
1979-11-20 | w: DEN | L: CHI
1979-11-20 | w: POR | L: LAL
1979-11-20 | w: CLE | L: UTH
1979-11-20 | w: SAC | L: GOS
1979-11-20 | w: PHL | L: SAN
1979-11-20 | w: LAC | L: PHX
1979-11-20 | w: NYK | L: HOU
1979-11-21 | w: BOS | L: BKN
1979-11-21 | w: DET | L: UTH
1979-11-21 | w: CLE | L: WAS
1979-11-21 | w: OKC | L: LAL
1979-11-21 | w: HOU | L: PHL
1979-11-21 | w: PHX | L: SAC
1979-11-21 | w: MIL | L: ATL
1979-11-21 | w: DEN | L: LAC
1979-11-21 | w: IND | L: NYK
1979-11-22 | w: CLE | L: GOS
1979-11-22 | w: MIL | L: BKN
1979-11-23 | w: BOS | L: IND
1979-11-23 | w: DET | L: MIL
1979-11-23 | w: OKC | L: POR
1979-11-23 | w: CHI | L: ATL
1979-11-23 | w: PHX | L: LAL
