============ Start of Season ============
1973-11-22 | w: MIL | L: NYK
1973-11-23 | w: BOS | L: SAC
1973-11-23 | w: WAS | L: ATL
1973-11-23 | w: OKC | L: POR
1973-11-23 | w: CLE | L: HOU
1973-11-23 | w: PHX | L: CHI
1973-11-23 | w: GOS | L: PHL
1973-11-24 | w: MIL | L: ATL
1973-11-24 | w: GOS | L: NYK
1973-11-24 | w: LAL | L: POR
1973-11-24 | w: LAC | L: SAC
1973-11-24 | w: CHI | L: DET
1973-11-25 | w: LAL | L: POR
1973-11-25 | w: WAS | L: NYK
1973-11-25 | w: MIL | L: PHL
1973-11-25 | w: BOS | L: CLE
1973-11-25 | w: OKC | L: SAC
1973-11-27 | w: HOU | L: PHX
1973-11-27 | w: CHI | L: GOS
1973-11-27 | w: CLE | L: OKC
1973-11-27 | w: ATL | L: SAC
1973-11-27 | w: MIL | L: LAC
1973-11-28 | w: ATL | L: LAC
1973-11-28 | w: BOS | L: WAS
1973-11-28 | w: HOU | L: NYK
1973-11-28 | w: CLE | L: DET
1973-11-28 | w: MIL | L: OKC
1973-11-28 | w: PHL | L: CHI
1973-11-29 | w: GOS | L: POR
1973-11-29 | w: PHX | L: SAC
1973-11-30 | w: LAL | L: SAC
1973-11-30 | w: HOU | L: DET
1973-11-30 | w: CHI | L: NYK
1973-11-30 | w: MIL | L: BOS
1973-11-30 | w: PHX | L: POR
1973-11-30 | w: CLE | L: PHL
1973-11-30 | w: WAS | L: LAC
1973-12-01 | w: ATL | L: OKC
1973-12-01 | w: BOS | L: CHI
1973-12-01 | w: GOS | L: SAC
1973-12-01 | w: NYK | L: CLE
1973-12-01 | w: DET | L: PHX
1973-12-01 | w: POR | L: LAL
1973-12-01 | w: PHL | L: HOU
1973-12-02 | w: DET | L: LAL
1973-12-02 | w: WAS | L: OKC
1973-12-02 | w: HOU | L: CLE
1973-12-04 | w: LAL | L: PHX
1973-12-04 | w: DET | L: GOS
1973-12-04 | w: NYK | L: POR
1973-12-04 | w: CHI | L: OKC
1973-12-04 | w: MIL | L: HOU
1973-12-05 | w: BOS | L: NYK
1973-12-05 | w: HOU | L: WAS
1973-12-05 | w: PHX | L: GOS
1973-12-05 | w: CLE | L: PHL
1973-12-05 | w: SAC | L: ATL
1973-12-05 | w: LAC | L: POR
1973-12-06 | w: DET | L: OKC
1973-12-06 | w: CHI | L: PHL
1973-12-07 | w: OKC | L: LAL
1973-12-07 | w: BOS | L: ATL
1973-12-07 | w: PHX | L: WAS
1973-12-07 | w: MIL | L: POR
1973-12-07 | w: SAC | L: PHL
1973-12-07 | w: CHI | L: CLE
1973-12-07 | w: NYK | L: LAC
1973-12-08 | w: GOS | L: LAL
1973-12-08 | w: NYK | L: ATL
1973-12-08 | w: DET | L: POR
1973-12-08 | w: CHI | L: BOS
1973-12-08 | w: MIL | L: PHL
1973-12-09 | w: WAS | L: LAL
1973-12-09 | w: BOS | L: LAC
1973-12-09 | w: HOU | L: OKC
1973-12-09 | w: PHX | L: CLE
1973-12-09 | w: DET | L: SAC
1973-12-11 | w: GOS | L: HOU
1973-12-11 | w: NYK | L: PHX
1973-12-11 | w: CHI | L: SAC
1973-12-11 | w: MIL | L: OKC
1973-12-11 | w: WAS | L: POR
1973-12-11 | w: CLE | L: LAL
1973-12-11 | w: LAC | L: ATL
1973-12-12 | w: BOS | L: LAC
1973-12-12 | w: DET | L: LAL
1973-12-12 | w: OKC | L: PHL
1973-12-13 | w: POR | L: PHX
1973-12-13 | w: CHI | L: MIL
1973-12-14 | w: PHL | L: DET
1973-12-14 | w: OKC | L: WAS
1973-12-14 | w: BOS | L: HOU
1973-12-14 | w: LAL | L: CHI
1973-12-14 | w: POR | L: GOS
1973-12-14 | w: LAC | L: CLE
1973-12-15 | w: WAS | L: GOS
1973-12-15 | w: CHI | L: HOU
1973-12-15 | w: MIL | L: ATL
1973-12-15 | w: PHX | L: BOS
1973-12-15 | w: DET | L: PHL
1973-12-15 | w: NYK | L: SAC
1973-12-16 | w: BOS | L: LAL
1973-12-16 | w: PHX | L: OKC
1973-12-16 | w: MIL | L: POR
1973-12-16 | w: SAC | L: DET
1973-12-17 | w: NYK | L: HOU
1973-12-18 | w: LAL | L: MIL
1973-12-18 | w: BOS | L: GOS
1973-12-18 | w: ATL | L: WAS
1973-12-18 | w: OKC | L: CHI
1973-12-18 | w: POR | L: PHX
1973-12-18 | w: LAC | L: CLE
1973-12-19 | w: ATL | L: NYK
1973-12-19 | w: DET | L: CHI
1973-12-19 | w: PHL | L: PHX
1973-12-19 | w: SAC | L: CLE
1973-12-19 | w: OKC | L: HOU
1973-12-20 | w: WAS | L: SAC
1973-12-21 | w: LAL | L: PHL
1973-12-21 | w: DET | L: GOS
1973-12-21 | w: ATL | L: HOU
1973-12-21 | w: CLE | L: OKC
1973-12-21 | w: LAC | L: NYK
1973-12-21 | w: BOS | L: POR
1973-12-22 | w: CLE | L: ATL
1973-12-22 | w: NYK | L: DET
1973-12-22 | w: WAS | L: HOU
1973-12-22 | w: CHI | L: GOS
1973-12-22 | w: PHX | L: MIL
1973-12-22 | w: POR | L: PHL
1973-12-22 | w: SAC | L: LAC
1973-12-23 | w: WAS | L: LAC
1973-12-23 | w: BOS | L: OKC
1973-12-23 | w: CLE | L: HOU
1973-12-23 | w: SAC | L: GOS
1973-12-25 | w: WAS | L: NYK
1973-12-25 | w: PHX | L: LAL
1973-12-26 | w: ATL | L: PHL
1973-12-26 | w: NYK | L: DET
1973-12-26 | w: WAS | L: CHI
1973-12-26 | w: HOU | L: SAC
1973-12-26 | w: OKC | L: LAL
1973-12-26 | w: MIL | L: CLE
1973-12-26 | w: BOS | L: LAC
1973-12-27 | w: POR | L: GOS
1973-12-27 | w: PHX | L: OKC
1973-12-27 | w: MIL | L: PHL
1973-12-27 | w: SAC | L: CLE
1973-12-28 | w: LAL | L: PHX
1973-12-28 | w: DET | L: WAS
1973-12-28 | w: OKC | L: POR
1973-12-28 | w: MIL | L: HOU
1973-12-28 | w: CHI | L: ATL
1973-12-29 | w: ATL | L: HOU
1973-12-29 | w: BOS | L: CLE
1973-12-29 | w: GOS | L: LAL
1973-12-29 | w: NYK | L: PHL
1973-12-29 | w: SAC | L: WAS
1973-12-29 | w: CHI | L: DET
1973-12-29 | w: LAC | L: PHX
1973-12-30 | w: LAL | L: LAC
1973-12-30 | w: OKC | L: GOS
1973-12-30 | w: DET | L: MIL
1973-12-30 | w: POR | L: CHI
1973-12-30 | w: ATL | L: CLE
1973-12-30 | w: NYK | L: SAC
1973-12-31 | w: BOS | L: PHL
1974-01-01 | w: CHI | L: GOS
1974-01-01 | w: NYK | L: ATL
1974-01-01 | w: LAC | L: POR
1974-01-02 | w: PHX | L: ATL
1974-01-02 | w: DET | L: MIL
1974-01-02 | w: NYK | L: WAS
1974-01-02 | w: LAC | L: OKC
1974-01-02 | w: HOU | L: PHL
1974-01-02 | w: SAC | L: BOS
1974-01-03 | w: MIL | L: SAC
1974-01-04 | w: LAL | L: GOS
1974-01-04 | w: DET | L: BOS
1974-01-04 | w: HOU | L: POR
1974-01-04 | w: WAS | L: CLE
1974-01-04 | w: PHL | L: NYK
1974-01-04 | w: SAC | L: PHX
1974-01-04 | w: OKC | L: CHI
1974-01-05 | w: ATL | L: CLE
1974-01-05 | w: GOS | L: HOU
1974-01-05 | w: LAC | L: NYK
1974-01-05 | w: WAS | L: DET
1974-01-05 | w: MIL | L: PHX
1974-01-05 | w: BOS | L: PHL
1974-01-06 | w: LAL | L: SAC
1974-01-06 | w: WAS | L: MIL
1974-01-06 | w: OKC | L: HOU
1974-01-06 | w: POR | L: GOS
1974-01-06 | w: LAC | L: ATL
1974-01-06 | w: CHI | L: PHX
1974-01-08 | w: WAS | L: LAL
1974-01-08 | w: GOS | L: HOU
