============ Start of Season ============
1981-11-28 | w: DAL | L: BKN
1981-11-28 | w: DEN | L: UTH
1981-11-28 | w: PHL | L: DET
1981-11-29 | w: LAL | L: HOU
1981-11-29 | w: MIL | L: SAN
1981-11-29 | w: POR | L: CHI
1981-11-29 | w: SAC | L: GOS
1981-12-01 | w: LAL | L: UTH
1981-12-01 | w: NYK | L: DET
1981-12-01 | w: SAN | L: WAS
1981-12-01 | w: OKC | L: CHI
1981-12-01 | w: SAC | L: HOU
1981-12-01 | w: PHX | L: LAC
1981-12-01 | w: MIL | L: CLE
1981-12-01 | w: IND | L: BOS
1981-12-01 | w: POR | L: DEN
1981-12-01 | w: PHL | L: ATL
1981-12-02 | w: BOS | L: DET
1981-12-02 | w: GOS | L: CHI
1981-12-02 | w: OKC | L: LAL
1981-12-02 | w: POR | L: SAC
1981-12-02 | w: UTH | L: DAL
1981-12-02 | w: BKN | L: CLE
1981-12-02 | w: SAN | L: PHL
1981-12-03 | w: WAS | L: NYK
1981-12-03 | w: PHX | L: DEN
1981-12-03 | w: LAC | L: DAL
1981-12-04 | w: MIL | L: ATL
1981-12-04 | w: SAC | L: OKC
1981-12-04 | w: SAN | L: POR
1981-12-04 | w: CHI | L: UTH
1981-12-04 | w: LAL | L: DEN
1981-12-04 | w: IND | L: DET
1981-12-04 | w: BOS | L: PHL
1981-12-05 | w: OKC | L: ATL
1981-12-05 | w: GOS | L: LAC
1981-12-05 | w: NYK | L: BOS
1981-12-05 | w: MIL | L: DET
1981-12-05 | w: WAS | L: CLE
1981-12-05 | w: HOU | L: POR
1981-12-05 | w: PHX | L: UTH
1981-12-05 | w: DAL | L: DEN
1981-12-05 | w: PHL | L: BKN
1981-12-06 | w: LAL | L: SAC
1981-12-08 | w: LAL | L: WAS
1981-12-08 | w: BKN | L: ATL
1981-12-08 | w: NYK | L: DEN
1981-12-08 | w: OKC | L: HOU
1981-12-08 | w: GOS | L: POR
1981-12-08 | w: LAC | L: PHX
1981-12-08 | w: DAL | L: UTH
1981-12-08 | w: CHI | L: IND
1981-12-09 | w: BOS | L: BKN
1981-12-09 | w: MIL | L: HOU
1981-12-09 | w: SAN | L: OKC
1981-12-09 | w: IND | L: UTH
1981-12-09 | w: SAC | L: DAL
1981-12-09 | w: GOS | L: PHX
1981-12-09 | w: CLE | L: ATL
1981-12-09 | w: PHL | L: DEN
1981-12-10 | w: PHX | L: POR
1981-12-10 | w: NYK | L: DET
1981-12-11 | w: LAL | L: POR
1981-12-11 | w: BOS | L: ATL
1981-12-11 | w: CHI | L: HOU
1981-12-11 | w: UTH | L: SAC
1981-12-11 | w: BKN | L: DEN
1981-12-11 | w: WAS | L: LAC
1981-12-11 | w: SAN | L: DAL
1981-12-11 | w: MIL | L: IND
1981-12-11 | w: PHL | L: CLE
1981-12-12 | w: ATL | L: BOS
1981-12-12 | w: GOS | L: SAC
1981-12-12 | w: MIL | L: NYK
1981-12-12 | w: OKC | L: DET
1981-12-12 | w: HOU | L: DAL
1981-12-12 | w: WAS | L: PHX
1981-12-12 | w: DEN | L: CLE
1981-12-12 | w: SAN | L: UTH
1981-12-12 | w: IND | L: BKN
1981-12-12 | w: PHL | L: CHI
1981-12-13 | w: LAL | L: GOS
1981-12-13 | w: OKC | L: LAC
1981-12-13 | w: POR | L: DET
1981-12-13 | w: MIL | L: PHL
1981-12-15 | w: OKC | L: DEN
1981-12-15 | w: UTH | L: SAN
1981-12-15 | w: ATL | L: NYK
1981-12-15 | w: DET | L: GOS
1981-12-15 | w: DAL | L: WAS
1981-12-15 | w: HOU | L: PHX
1981-12-15 | w: CHI | L: CLE
1981-12-15 | w: POR | L: LAC
1981-12-15 | w: MIL | L: IND
1981-12-16 | w: BOS | L: DAL
1981-12-16 | w: WAS | L: CLE
1981-12-16 | w: SAC | L: PHX
1981-12-16 | w: CHI | L: BKN
1981-12-16 | w: NYK | L: PHL
1981-12-17 | w: GOS | L: LAL
1981-12-17 | w: IND | L: DET
1981-12-17 | w: DEN | L: ATL
1981-12-17 | w: OKC | L: LAC
1981-12-18 | w: NYK | L: CHI
1981-12-18 | w: BOS | L: WAS
1981-12-18 | w: BKN | L: MIL
1981-12-18 | w: SAC | L: UTH
1981-12-18 | w: PHX | L: SAN
1981-12-18 | w: IND | L: CLE
1981-12-18 | w: HOU | L: DAL
1981-12-19 | w: GOS | L: ATL
1981-12-19 | w: DET | L: NYK
1981-12-19 | w: HOU | L: CHI
1981-12-19 | w: PHX | L: SAC
1981-12-19 | w: BKN | L: CLE
1981-12-19 | w: OKC | L: UTH
1981-12-19 | w: DEN | L: SAN
1981-12-19 | w: LAL | L: LAC
1981-12-19 | w: DAL | L: POR
1981-12-19 | w: PHL | L: BOS
1981-12-20 | w: LAL | L: ATL
1981-12-22 | w: BOS | L: CLE
1981-12-22 | w: PHL | L: NYK
1981-12-22 | w: DEN | L: HOU
1981-12-22 | w: CHI | L: WAS
1981-12-22 | w: SAC | L: MIL
1981-12-22 | w: LAL | L: POR
1981-12-22 | w: IND | L: ATL
1981-12-22 | w: DET | L: DAL
1981-12-23 | w: OKC | L: UTH
1981-12-23 | w: PHX | L: GOS
1981-12-23 | w: CLE | L: SAC
1981-12-23 | w: DET | L: DEN
1981-12-23 | w: BKN | L: NYK
1981-12-23 | w: SAN | L: LAC
1981-12-25 | w: BKN | L: NYK
1981-12-25 | w: WAS | L: IND
1981-12-25 | w: LAL | L: PHX
1981-12-25 | w: POR | L: OKC
1981-12-26 | w: GOS | L: PHX
1981-12-26 | w: DET | L: CHI
1981-12-26 | w: MIL | L: CLE
1981-12-26 | w: ATL | L: SAN
1981-12-26 | w: HOU | L: UTH
