============ Start of Season ============
1985-11-23 | w: DAL | L: IND
1985-11-23 | w: DET | L: PHL
1985-11-24 | w: LAL | L: SAN
1985-11-24 | w: WAS | L: CHI
1985-11-24 | w: OKC | L: DEN
1985-11-24 | w: POR | L: HOU
1985-11-24 | w: CLE | L: ATL
1985-11-24 | w: BKN | L: SAC
1985-11-24 | w: MIL | L: PHX
1985-11-25 | w: UTH | L: IND
1985-11-26 | w: ATL | L: NYK
1985-11-26 | w: DET | L: CLE
1985-11-26 | w: OKC | L: LAC
1985-11-26 | w: HOU | L: GOS
1985-11-26 | w: SAC | L: PHX
1985-11-26 | w: CHI | L: DEN
1985-11-26 | w: DAL | L: WAS
1985-11-26 | w: BOS | L: PHL
1985-11-27 | w: BOS | L: DET
1985-11-27 | w: GOS | L: DEN
1985-11-27 | w: POR | L: PHX
1985-11-27 | w: MIL | L: ATL
1985-11-27 | w: UTH | L: CHI
1985-11-27 | w: SAN | L: WAS
1985-11-27 | w: NYK | L: IND
1985-11-27 | w: HOU | L: LAC
1985-11-27 | w: PHL | L: BKN
1985-11-29 | w: LAL | L: OKC
1985-11-29 | w: BOS | L: NYK
1985-11-29 | w: DET | L: MIL
1985-11-29 | w: PHX | L: HOU
1985-11-29 | w: POR | L: CHI
1985-11-29 | w: DEN | L: UTH
1985-11-29 | w: SAN | L: LAC
1985-11-29 | w: BKN | L: ATL
1985-11-29 | w: DAL | L: SAC
1985-11-29 | w: PHL | L: IND
1985-11-30 | w: BOS | L: ATL
1985-11-30 | w: UTH | L: GOS
1985-11-30 | w: WAS | L: DET
1985-11-30 | w: HOU | L: SAC
1985-11-30 | w: MIL | L: IND
1985-11-30 | w: CLE | L: BKN
1985-11-30 | w: DAL | L: LAC
1985-11-30 | w: OKC | L: DEN
1985-11-30 | w: PHL | L: NYK
1985-12-01 | w: LAL | L: CHI
1985-12-01 | w: SAN | L: POR
1985-12-02 | w: UTH | L: GOS
1985-12-03 | w: DAL | L: GOS
1985-12-03 | w: NYK | L: DEN
1985-12-03 | w: WAS | L: POR
1985-12-03 | w: HOU | L: PHX
1985-12-03 | w: OKC | L: SAN
1985-12-03 | w: BOS | L: MIL
1985-12-03 | w: IND | L: CLE
1985-12-03 | w: SAC | L: CHI
1985-12-03 | w: PHL | L: DET
1985-12-04 | w: ATL | L: POR
1985-12-04 | w: PHX | L: CHI
1985-12-04 | w: DEN | L: IND
1985-12-04 | w: BOS | L: BKN
1985-12-04 | w: LAC | L: SAC
1985-12-04 | w: LAL | L: UTH
1985-12-04 | w: PHL | L: WAS
1985-12-05 | w: GOS | L: LAC
1985-12-05 | w: MIL | L: NYK
1985-12-05 | w: DET | L: BKN
1985-12-05 | w: CLE | L: OKC
1985-12-05 | w: SAN | L: DAL
1985-12-06 | w: LAL | L: HOU
1985-12-06 | w: ATL | L: MIL
1985-12-06 | w: POR | L: BOS
1985-12-06 | w: WAS | L: OKC
1985-12-06 | w: PHX | L: UTH
1985-12-06 | w: CHI | L: SAN
1985-12-06 | w: IND | L: NYK
1985-12-06 | w: DEN | L: PHL
1985-12-07 | w: SAC | L: DET
1985-12-07 | w: HOU | L: CHI
1985-12-07 | w: CLE | L: DEN
1985-12-07 | w: UTH | L: LAC
1985-12-07 | w: BKN | L: POR
1985-12-07 | w: DAL | L: GOS
1985-12-08 | w: LAL | L: DAL
1985-12-08 | w: WAS | L: SAC
1985-12-08 | w: SAN | L: GOS
1985-12-08 | w: OKC | L: PHL
1985-12-10 | w: BOS | L: ATL
1985-12-10 | w: NYK | L: IND
1985-12-10 | w: HOU | L: UTH
1985-12-10 | w: SAN | L: CHI
1985-12-10 | w: MIL | L: OKC
1985-12-10 | w: POR | L: GOS
1985-12-10 | w: DET | L: CLE
1985-12-10 | w: BKN | L: SAC
1985-12-10 | w: LAC | L: DAL
1985-12-11 | w: ATL | L: OKC
1985-12-11 | w: BOS | L: SAC
1985-12-11 | w: PHX | L: GOS
1985-12-11 | w: WAS | L: DET
1985-12-11 | w: UTH | L: POR
1985-12-11 | w: IND | L: SAN
1985-12-11 | w: DEN | L: LAC
1985-12-11 | w: PHL | L: CLE
1985-12-12 | w: LAL | L: PHX
1985-12-12 | w: BKN | L: NYK
1985-12-12 | w: HOU | L: DAL
1985-12-12 | w: WAS | L: MIL
1985-12-12 | w: CHI | L: PHL
1985-12-13 | w: SAN | L: DET
1985-12-13 | w: OKC | L: LAC
1985-12-13 | w: CLE | L: MIL
1985-12-13 | w: DEN | L: LAL
1985-12-13 | w: IND | L: ATL
1985-12-13 | w: POR | L: GOS
1985-12-14 | w: NYK | L: SAN
1985-12-14 | w: SAC | L: CHI
1985-12-14 | w: CLE | L: BOS
1985-12-14 | w: UTH | L: HOU
1985-12-14 | w: PHX | L: LAC
1985-12-14 | w: BKN | L: IND
1985-12-14 | w: DAL | L: DEN
1985-12-14 | w: ATL | L: PHL
1985-12-15 | w: LAL | L: DET
1985-12-15 | w: BOS | L: CHI
1985-12-15 | w: GOS | L: OKC
1985-12-15 | w: MIL | L: SAC
1985-12-17 | w: ATL | L: BKN
1985-12-17 | w: LAL | L: NYK
1985-12-17 | w: UTH | L: WAS
1985-12-17 | w: PHX | L: OKC
1985-12-17 | w: CHI | L: BOS
1985-12-17 | w: HOU | L: CLE
1985-12-17 | w: SAC | L: DET
1985-12-17 | w: SAN | L: POR
1985-12-17 | w: DEN | L: GOS
1985-12-17 | w: PHL | L: IND
1985-12-18 | w: BOS | L: DAL
1985-12-18 | w: LAL | L: MIL
1985-12-18 | w: LAC | L: GOS
1985-12-18 | w: BKN | L: UTH
1985-12-18 | w: PHL | L: HOU
1985-12-19 | w: DAL | L: ATL
1985-12-19 | w: CLE | L: NYK
1985-12-19 | w: DET | L: OKC
1985-12-19 | w: WAS | L: CHI
1985-12-19 | w: PHX | L: SAC
1985-12-19 | w: DEN | L: POR
1985-12-20 | w: LAL | L: CLE
1985-12-20 | w: SAN | L: LAC
1985-12-20 | w: IND | L: MIL
1985-12-20 | w: BKN | L: HOU
1985-12-20 | w: PHL | L: UTH
1985-12-21 | w: ATL | L: HOU
1985-12-21 | w: NYK | L: DET
1985-12-21 | w: LAL | L: WAS
1985-12-21 | w: POR | L: OKC
1985-12-21 | w: CHI | L: UTH
1985-12-21 | w: PHX | L: GOS
1985-12-21 | w: MIL | L: DAL
1985-12-21 | w: LAC | L: SAC
1985-12-21 | w: BKN | L: IND
1985-12-21 | w: SAN | L: DEN
1985-12-21 | w: PHL | L: BOS
1985-12-22 | w: NYK | L: WAS
1985-12-22 | w: POR | L: DEN
1985-12-22 | w: CLE | L: DAL
1985-12-23 | w: BKN | L: CLE
1985-12-25 | w: POR | L: LAC
1985-12-25 | w: NYK | L: BOS
1985-12-26 | w: GOS | L: SAC
1985-12-26 | w: HOU | L: UTH
1985-12-26 | w: NYK | L: CHI
1985-12-26 | w: DAL | L: PHX
1985-12-26 | w: MIL | L: IND
1985-12-26 | w: SAN | L: LAL
1985-12-26 | w: BKN | L: DET
1985-12-26 | w: PHL | L: LAC
1985-12-27 | w: CLE | L: DET
1985-12-27 | w: WAS | L: ATL
1985-12-27 | w: OKC | L: GOS
1985-12-27 | w: POR | L: DAL
1985-12-28 | w: ATL | L: NYK
1985-12-28 | w: LAC | L: OKC
1985-12-28 | w: HOU | L: POR
1985-12-28 | w: CHI | L: IND
1985-12-28 | w: LAL | L: SAC
1985-12-28 | w: SAN | L: DEN
1985-12-28 | w: BOS | L: UTH
1985-12-28 | w: WAS | L: BKN
1985-12-28 | w: MIL | L: CLE
1985-12-28 | w: PHL | L: PHX
1985-12-29 | w: GOS | L: LAL
1985-12-30 | w: IND | L: WAS
1985-12-30 | w: MIL | L: DET
1985-12-30 | w: POR | L: SAN
1985-12-30 | w: CHI | L: CLE
1985-12-30 | w: UTH | L: OKC
1985-12-30 | w: DEN | L: HOU
1985-12-30 | w: BOS | L: LAC
1985-12-30 | w: BKN | L: NYK
1985-12-30 | w: PHL | L: SAC
1986-01-01 | w: PHL | L: POR
1986-01-02 | w: HOU | L: GOS
1986-01-02 | w: WAS | L: NYK
1986-01-02 | w: CHI | L: DET
1986-01-02 | w: SAC | L: SAN
1986-01-02 | w: BOS | L: IND
1986-01-03 | w: LAL | L: UTH
1986-01-03 | w: ATL | L: DET
1986-01-03 | w: BOS | L: BKN
1986-01-03 | w: MIL | L: WAS
1986-01-03 | w: OKC | L: DEN
1986-01-03 | w: POR | L: PHX
1986-01-03 | w: CLE | L: LAC
1986-01-04 | w: SAN | L: GOS
1986-01-04 | w: ATL | L: CHI
1986-01-04 | w: MIL | L: NYK
1986-01-04 | w: SAC | L: DEN
1986-01-04 | w: IND | L: LAC
1986-01-04 | w: BKN | L: CLE
1986-01-04 | w: DAL | L: UTH
1986-01-04 | w: HOU | L: PHL
1986-01-05 | w: LAL | L: WAS
1986-01-05 | w: POR | L: GOS
1986-01-06 | w: PHX | L: OKC
1986-01-06 | w: SAC | L: WAS
1986-01-06 | w: PHL | L: SAN
1986-01-07 | w: ATL | L: LAC
1986-01-07 | w: NYK | L: IND
1986-01-07 | w: DET | L: BOS
1986-01-07 | w: OKC | L: UTH
1986-01-07 | w: HOU | L: GOS
1986-01-07 | w: BKN | L: CHI
1986-01-07 | w: MIL | L: CLE
1986-01-07 | w: DEN | L: DAL
1986-01-08 | w: LAL | L: POR
1986-01-08 | w: BOS | L: CLE
1986-01-08 | w: PHX | L: WAS
1986-01-08 | w: SAC | L: IND
1986-01-08 | w: BKN | L: MIL
1986-01-08 | w: PHL | L: LAC
1986-01-09 | w: ATL | L: DET
1986-01-09 | w: HOU | L: SAN
1986-01-09 | w: WAS | L: UTH
1986-01-09 | w: DEN | L: OKC
1986-01-10 | w: LAL | L: IND
1986-01-10 | w: BOS | L: ATL
1986-01-10 | w: MIL | L: POR
1986-01-10 | w: SAN | L: GOS
1986-01-10 | w: LAC | L: BKN
1986-01-10 | w: DAL | L: PHX
1986-01-10 | w: PHL | L: SAC
1986-01-11 | w: POR | L: NYK
1986-01-11 | w: HOU | L: WAS
1986-01-11 | w: OKC | L: LAL
1986-01-11 | w: CHI | L: LAC
1986-01-11 | w: PHX | L: IND
1986-01-11 | w: CLE | L: SAC
1986-01-11 | w: DEN | L: UTH
1986-01-11 | w: DAL | L: GOS
1986-01-11 | w: PHL | L: DET
1986-01-12 | w: UTH | L: SAN
1986-01-13 | w: GOS | L: IND
1986-01-13 | w: NYK | L: SAC
1986-01-13 | w: WAS | L: LAC
1986-01-13 | w: DAL | L: OKC
1986-01-13 | w: PHX | L: SAN
1986-01-13 | w: DEN | L: MIL
1986-01-14 | w: LAL | L: PHX
1986-01-14 | w: ATL | L: SAC
1986-01-14 | w: UTH | L: HOU
1986-01-14 | w: WAS | L: CHI
1986-01-14 | w: POR | L: CLE
1986-01-14 | w: PHL | L: BKN
1986-01-15 | w: BOS | L: DEN
1986-01-15 | w: GOS | L: UTH
1986-01-15 | w: DET | L: CHI
1986-01-15 | w: HOU | L: SAN
1986-01-15 | w: POR | L: IND
1986-01-15 | w: LAC | L: OKC
1986-01-15 | w: NYK | L: DAL
1986-01-15 | w: BKN | L: PHL
1986-01-16 | w: LAL | L: LAC
1986-01-16 | w: ATL | L: CLE
1986-01-16 | w: MIL | L: WAS
1986-01-17 | w: SAC | L: GOS
1986-01-17 | w: DET | L: DEN
1986-01-17 | w: WAS | L: BKN
1986-01-17 | w: PHX | L: OKC
1986-01-17 | w: SAN | L: NYK
1986-01-17 | w: UTH | L: DAL
1986-01-17 | w: BOS | L: IND
1986-01-17 | w: PHL | L: CHI
1986-01-18 | w: HOU | L: NYK
1986-01-18 | w: POR | L: PHX
1986-01-18 | w: CLE | L: IND
1986-01-18 | w: LAC | L: UTH
1986-01-18 | w: BKN | L: DEN
1986-01-18 | w: BOS | L: ATL
1986-01-18 | w: SAC | L: OKC
1986-01-19 | w: DET | L: LAL
1986-01-19 | w: WAS | L: CHI
1986-01-19 | w: MIL | L: GOS
1986-01-19 | w: SAN | L: POR
1986-01-19 | w: DAL | L: HOU
1986-01-20 | w: ATL | L: MIL
1986-01-20 | w: LAL | L: CHI
1986-01-20 | w: CLE | L: PHX
1986-01-20 | w: IND | L: DET
1986-01-20 | w: PHL | L: NYK
1986-01-21 | w: HOU | L: OKC
1986-01-21 | w: SAC | L: DAL
1986-01-21 | w: LAC | L: SAN
1986-01-21 | w: NYK | L: GOS
1986-01-21 | w: UTH | L: DEN
1986-01-22 | w: ATL | L: GOS
1986-01-22 | w: BOS | L: LAL
1986-01-22 | w: DET | L: CLE
1986-01-22 | w: DEN | L: BKN
1986-01-22 | w: LAC | L: DAL
1986-01-22 | w: PHL | L: PHX
1986-01-23 | w: WAS | L: PHX
1986-01-23 | w: HOU | L: SAC
1986-01-23 | w: BKN | L: UTH
1986-01-23 | w: POR | L: OKC
1986-01-24 | w: ATL | L: NYK
1986-01-24 | w: BOS | L: GOS
1986-01-24 | w: SAN | L: DEN
1986-01-24 | w: LAC | L: LAL
1986-01-24 | w: MIL | L: IND
1986-01-24 | w: DET | L: DAL
1986-01-24 | w: PHL | L: CLE
1986-01-25 | w: DEN | L: LAL
1986-01-25 | w: MIL | L: NYK
1986-01-25 | w: WAS | L: ATL
1986-01-25 | w: OKC | L: BKN
1986-01-25 | w: HOU | L: DET
1986-01-25 | w: CHI | L: PHX
1986-01-25 | w: POR | L: SAC
1986-01-25 | w: UTH | L: LAC
1986-01-25 | w: DAL | L: SAN
1986-01-25 | w: IND | L: GOS
1986-01-26 | w: SAC | L: POR
1986-01-26 | w: BOS | L: PHL
1986-01-27 | w: MIL | L: UTH
1986-01-27 | w: DET | L: SAN
1986-01-27 | w: DEN | L: CLE
1986-01-27 | w: LAC | L: BKN
1986-01-27 | w: DAL | L: CHI
1986-01-28 | w: LAL | L: MIL
1986-01-28 | w: ATL | L: IND
1986-01-28 | w: BKN | L: GOS
1986-01-28 | w: NYK | L: CHI
1986-01-28 | w: HOU | L: CLE
1986-01-28 | w: PHX | L: POR
1986-01-28 | w: SAC | L: DEN
1986-01-28 | w: PHL | L: OKC
1986-01-29 | w: DET | L: ATL
1986-01-29 | w: PHX | L: LAC
1986-01-29 | w: IND | L: WAS
1986-01-29 | w: DAL | L: SAN
1986-01-29 | w: UTH | L: PHL
1986-01-30 | w: MIL | L: GOS
1986-01-30 | w: BOS | L: CHI
1986-01-30 | w: LAL | L: POR
1986-01-30 | w: HOU | L: SAC
1986-01-30 | w: SAN | L: CLE
1986-01-30 | w: DEN | L: NYK
1986-01-30 | w: OKC | L: BKN
1986-01-31 | w: ATL | L: DET
1986-01-31 | w: BOS | L: WAS
1986-01-31 | w: NYK | L: PHX
1986-01-31 | w: UTH | L: SAC
1986-01-31 | w: IND | L: OKC
1986-01-31 | w: DAL | L: CLE
1986-01-31 | w: LAL | L: PHL
1986-02-01 | w: DET | L: WAS
1986-02-01 | w: CHI | L: HOU
1986-02-01 | w: POR | L: LAC
1986-02-01 | w: PHX | L: SAN
1986-02-01 | w: DEN | L: MIL
1986-02-01 | w: BKN | L: ATL
1986-02-01 | w: GOS | L: PHL
1986-02-02 | w: NYK | L: LAL
1986-02-02 | w: BOS | L: OKC
1986-02-02 | w: IND | L: CHI
1986-02-02 | w: DAL | L: UTH
1986-02-03 | w: HOU | L: DEN
1986-02-03 | w: SAC | L: NYK
1986-02-03 | w: SAN | L: UTH
1986-02-04 | w: LAL | L: DAL
1986-02-04 | w: DET | L: CHI
1986-02-04 | w: PHX | L: GOS
1986-02-04 | w: BOS | L: MIL
1986-02-04 | w: ATL | L: CLE
1986-02-04 | w: DEN | L: POR
1986-02-04 | w: IND | L: BKN
1986-02-04 | w: SAN | L: OKC
1986-02-05 | w: BOS | L: WAS
1986-02-05 | w: PHL | L: BKN
1986-02-06 | w: LAL | L: HOU
1986-02-06 | w: PHX | L: LAC
1986-02-06 | w: MIL | L: CHI
1986-02-06 | w: DAL | L: POR
1986-02-06 | w: SAC | L: OKC
1986-02-06 | w: UTH | L: NYK
1986-02-06 | w: DEN | L: SAN
1986-02-06 | w: ATL | L: IND
1986-02-06 | w: DET | L: WAS
1986-02-06 | w: PHL | L: CLE
1986-02-11 | w: GOS | L: LAL
1986-02-11 | w: OKC | L: UTH
1986-02-11 | w: HOU | L: ATL
1986-02-11 | w: WAS | L: POR
1986-02-11 | w: CLE | L: IND
1986-02-11 | w: SAC | L: BOS
1986-02-11 | w: DAL | L: SAN
1986-02-11 | w: BKN | L: DET
1986-02-11 | w: LAC | L: PHX
1986-02-12 | w: DET | L: NYK
1986-02-12 | w: LAL | L: PHX
1986-02-12 | w: MIL | L: IND
1986-02-12 | w: DAL | L: DEN
1986-02-12 | w: PHL | L: CHI
1986-02-13 | w: GOS | L: WAS
1986-02-13 | w: BOS | L: OKC
1986-02-13 | w: MIL | L: UTH
1986-02-13 | w: CLE | L: BKN
1986-02-13 | w: ATL | L: SAC
1986-02-13 | w: SAN | L: HOU
1986-02-13 | w: LAC | L: POR
1986-02-13 | w: PHL | L: NYK
1986-02-14 | w: LAL | L: ATL
1986-02-14 | w: DET | L: DAL
1986-02-14 | w: IND | L: CHI
1986-02-14 | w: PHX | L: DEN
1986-02-14 | w: BOS | L: POR
1986-02-15 | w: UTH | L: NYK
1986-02-15 | w: OKC | L: WAS
1986-02-15 | w: MIL | L: BKN
1986-02-15 | w: DEN | L: GOS
1986-02-15 | w: LAC | L: HOU
1986-02-15 | w: IND | L: CLE
1986-02-15 | w: DET | L: PHL
1986-02-16 | w: BOS | L: LAL
1986-02-16 | w: DAL | L: CHI
1986-02-16 | w: ATL | L: POR
1986-02-16 | w: SAN | L: SAC
1986-02-17 | w: HOU | L: GOS
1986-02-17 | w: DET | L: UTH
1986-02-17 | w: OKC | L: ATL
1986-02-17 | w: PHX | L: BOS
1986-02-17 | w: CLE | L: NYK
1986-02-17 | w: IND | L: CHI
1986-02-17 | w: WAS | L: LAC
1986-02-17 | w: DAL | L: BKN
1986-02-17 | w: MIL | L: PHL
1986-02-18 | w: CLE | L: NYK
1986-02-18 | w: SAC | L: HOU
1986-02-18 | w: DEN | L: WAS
1986-02-18 | w: SAN | L: PHX
1986-02-19 | w: BOS | L: GOS
1986-02-19 | w: DET | L: OKC
1986-02-19 | w: LAL | L: IND
1986-02-19 | w: CHI | L: BKN
1986-02-19 | w: MIL | L: DAL
1986-02-19 | w: UTH | L: ATL
1986-02-19 | w: PHL | L: POR
1986-02-20 | w: MIL | L: HOU
1986-02-20 | w: DET | L: CLE
1986-02-20 | w: SAC | L: SAN
1986-02-20 | w: DEN | L: BOS
1986-02-21 | w: ATL | L: IND
1986-02-21 | w: NYK | L: OKC
1986-02-21 | w: CHI | L: POR
1986-02-21 | w: SAC | L: PHX
1986-02-21 | w: BKN | L: LAL
1986-02-21 | w: GOS | L: LAC
1986-02-21 | w: HOU | L: DAL
1986-02-21 | w: PHL | L: WAS
1986-02-22 | w: ATL | L: BKN
1986-02-22 | w: DET | L: POR
