============ Start of Season ============
1967-11-15 | w: DET | L: PHL
1967-11-16 | w: HOU | L: CHI
1967-11-17 | w: PHL | L: ATL
1967-11-17 | w: SAC | L: BOS
1967-11-17 | w: GSW | L: CHI
1967-11-17 | w: WAS | L: LAL
1967-11-17 | w: OKC | L: HOU
1967-11-18 | w: LAL | L: ATL
1967-11-18 | w: WAS | L: NYK
1967-11-18 | w: GSW | L: HOU
1967-11-18 | w: CHI | L: DET
1967-11-18 | w: BOS | L: PHL
1967-11-19 | w: OKC | L: DET
1967-11-20 | w: DET | L: OKC
1967-11-21 | w: BOS | L: HOU
1967-11-21 | w: GSW | L: DET
1967-11-21 | w: OKC | L: LAL
1967-11-21 | w: NYK | L: CHI
1967-11-22 | w: ATL | L: PHL
1967-11-22 | w: BOS | L: HOU
1967-11-22 | w: CHI | L: WAS
1967-11-22 | w: SAC | L: NYK
1967-11-23 | w: LAL | L: DET
1967-11-23 | w: OKC | L: BOS
1967-11-23 | w: CHI | L: NYK
1967-11-23 | w: PHL | L: HOU
1967-11-24 | w: DET | L: HOU
1967-11-24 | w: PHL | L: CHI
1967-11-24 | w: SAC | L: OKC
1967-11-24 | w: GSW | L: LAL
1967-11-25 | w: GSW | L: LAL
1967-11-25 | w: ATL | L: HOU
1967-11-25 | w: NYK | L: OKC
1967-11-25 | w: WAS | L: BOS
1967-11-25 | w: CHI | L: PHL
1967-11-25 | w: DET | L: SAC
1967-11-26 | w: LAL | L: ATL
1967-11-28 | w: LAL | L: ATL
1967-11-28 | w: BOS | L: DET
1967-11-28 | w: PHL | L: NYK
1967-11-28 | w: GSW | L: WAS
1967-11-28 | w: OKC | L: CHI
1967-11-29 | w: DET | L: LAL
1967-11-29 | w: GSW | L: PHL
1967-11-29 | w: NYK | L: SAC
1967-11-30 | w: ATL | L: HOU
1967-12-01 | w: PHL | L: OKC
1967-12-01 | w: BOS | L: LAL
1967-12-01 | w: GSW | L: ATL
1967-12-01 | w: WAS | L: SAC
1967-12-01 | w: CHI | L: NYK
1967-12-02 | w: LAL | L: NYK
1967-12-02 | w: DET | L: BOS
1967-12-02 | w: HOU | L: GSW
1967-12-02 | w: PHL | L: WAS
1967-12-02 | w: CHI | L: SAC
1967-12-03 | w: ATL | L: OKC
1967-12-05 | w: DET | L: HOU
1967-12-05 | w: GSW | L: OKC
1967-12-05 | w: NYK | L: WAS
1967-12-05 | w: CHI | L: SAC
1967-12-05 | w: LAL | L: PHL
1967-12-06 | w: BOS | L: NYK
1967-12-06 | w: DET | L: CHI
1967-12-06 | w: LAL | L: WAS
1967-12-06 | w: PHL | L: SAC
1967-12-07 | w: HOU | L: CHI
1967-12-08 | w: ATL | L: SAC
