============ Start of Season ============
1961-01-08 | w: PHI | L: DET
1961-01-10 | w: BOS | L: DET
1961-01-10 | w: ATL | L: SAC
1961-01-10 | w: LAL | L: NYK
1961-01-11 | w: NYK | L: LAL
1961-01-11 | w: DET | L: SAC
1961-01-11 | w: PHI | L: ATL
1961-01-12 | w: GSW | L: ATL
1961-01-12 | w: DET | L: SAC
1961-01-12 | w: BOS | L: PHI
1961-01-13 | w: PHI | L: NYK
1961-01-13 | w: BOS | L: GSW
1961-01-14 | w: GSW | L: BOS
1961-01-14 | w: LAL | L: SAC
1961-01-14 | w: ATL | L: DET
1961-01-15 | w: SAC | L: LAL
1961-01-15 | w: BOS | L: NYK
1961-01-15 | w: DET | L: ATL
1961-01-15 | w: PHI | L: GSW
1961-01-18 | w: DET | L: SAC
1961-01-18 | w: ATL | L: BOS
1961-01-18 | w: PHI | L: GSW
1961-01-19 | w: BOS | L: LAL
1961-01-19 | w: GSW | L: ATL
1961-01-19 | w: NYK | L: SAC
1961-01-20 | w: DET | L: NYK
1961-01-21 | w: GSW | L: LAL
1961-01-21 | w: DET | L: SAC
1961-01-21 | w: ATL | L: NYK
1961-01-21 | w: PHI | L: BOS
1961-01-22 | w: DET | L: GSW
1961-01-22 | w: SAC | L: ATL
1961-01-22 | w: PHI | L: LAL
1961-01-24 | w: BOS | L: NYK
1961-01-24 | w: LAL | L: PHI
1961-01-24 | w: ATL | L: GSW
1961-01-24 | w: DET | L: SAC
1961-01-25 | w: LAL | L: PHI
1961-01-25 | w: DET | L: SAC
1961-01-25 | w: ATL | L: NYK
1961-01-26 | w: BOS | L: GSW
1961-01-27 | w: BOS | L: DET
1961-01-27 | w: NYK | L: GSW
1961-01-27 | w: PHI | L: SAC
1961-01-28 | w: ATL | L: SAC
1961-01-28 | w: GSW | L: NYK
1961-01-29 | w: LAL | L: DET
1961-01-29 | w: ATL | L: PHI
1961-01-29 | w: BOS | L: GSW
1961-01-30 | w: LAL | L: DET
1961-01-30 | w: SAC | L: BOS
1961-01-31 | w: DET | L: LAL
1961-01-31 | w: BOS | L: ATL
1961-01-31 | w: PHI | L: NYK
1961-02-01 | w: BOS | L: NYK
1961-02-01 | w: GSW | L: PHI
1961-02-01 | w: ATL | L: DET
1961-02-02 | w: LAL | L: ATL
1961-02-02 | w: GSW | L: SAC
1961-02-03 | w: GSW | L: SAC
1961-02-03 | w: BOS | L: NYK
1961-02-03 | w: DET | L: PHI
1961-02-04 | w: ATL | L: NYK
1961-02-04 | w: DET | L: PHI
1961-02-05 | w: BOS | L: ATL
1961-02-05 | w: LAL | L: DET
1961-02-05 | w: PHI | L: SAC
1961-02-05 | w: GSW | L: NYK
1961-02-06 | w: LAL | L: SAC
1961-02-07 | w: BOS | L: LAL
1961-02-07 | w: ATL | L: GSW
1961-02-07 | w: NYK | L: DET
1961-02-08 | w: LAL | L: ATL
1961-02-08 | w: PHI | L: BOS
1961-02-08 | w: DET | L: GSW
1961-02-09 | w: SAC | L: NYK
1961-02-09 | w: ATL | L: LAL
1961-02-09 | w: PHI | L: GSW
1961-02-10 | w: GSW | L: NYK
1961-02-10 | w: DET | L: BOS
1961-02-11 | w: NYK | L: BOS
1961-02-11 | w: PHI | L: DET
1961-02-11 | w: ATL | L: SAC
1961-02-12 | w: BOS | L: GSW
1961-02-12 | w: SAC | L: NYK
1961-02-12 | w: LAL | L: ATL
1961-02-12 | w: PHI | L: DET
1961-02-13 | w: SAC | L: LAL
1961-02-14 | w: BOS | L: LAL
1961-02-14 | w: ATL | L: DET
1961-02-15 | w: ATL | L: GSW
1961-02-15 | w: NYK | L: PHI
1961-02-16 | w: GSW | L: BOS
1961-02-16 | w: PHI | L: NYK
1961-02-16 | w: LAL | L: DET
1961-02-16 | w: SAC | L: ATL
1961-02-17 | w: PHI | L: DET
1961-02-17 | w: BOS | L: GSW
1961-02-18 | w: LAL | L: NYK
1961-02-18 | w: PHI | L: GSW
1961-02-18 | w: ATL | L: DET
1961-02-19 | w: NYK | L: ATL
1961-02-19 | w: SAC | L: LAL
1961-02-19 | w: BOS | L: PHI
1961-02-20 | w: PHI | L: LAL
1961-02-21 | w: PHI | L: DET
1961-02-21 | w: ATL | L: SAC
1961-02-21 | w: GSW | L: NYK
1961-02-22 | w: GSW | L: SAC
1961-02-22 | w: LAL | L: BOS
1961-02-22 | w: DET | L: NYK
1961-02-23 | w: GSW | L: DET
1961-02-23 | w: PHI | L: ATL
1961-02-24 | w: ATL | L: NYK
1961-02-24 | w: BOS | L: PHI
1961-02-25 | w: BOS | L: ATL
1961-02-25 | w: GSW | L: SAC
1961-02-26 | w: LAL | L: GSW
1961-02-26 | w: BOS | L: DET
1961-02-26 | w: ATL | L: SAC
1961-02-26 | w: PHI | L: NYK
1961-02-27 | w: GSW | L: LAL
1961-02-28 | w: SAC | L: ATL
1961-02-28 | w: GSW | L: LAL
1961-02-28 | w: BOS | L: NYK
1961-03-01 | w: ATL | L: BOS
1961-03-01 | w: LAL | L: NYK
1961-03-01 | w: SAC | L: DET
1961-03-01 | w: PHI | L: GSW
1961-03-02 | w: LAL | L: PHI
1961-03-03 | w: GSW | L: PHI
1961-03-03 | w: DET | L: NYK
1961-03-04 | w: GSW | L: PHI
1961-03-04 | w: ATL | L: DET
1961-03-04 | w: BOS | L: NYK
1961-03-05 | w: SAC | L: NYK
1961-03-05 | w: LAL | L: PHI
1961-03-05 | w: BOS | L: GSW
1961-03-05 | w: ATL | L: DET
1961-03-07 | w: BOS | L: SAC
1961-03-07 | w: NYK | L: PHI
1961-03-07 | w: ATL | L: LAL
1961-03-08 | w: ATL | L: NYK
1961-03-08 | w: BOS | L: PHI
1961-03-08 | w: DET | L: LAL
1961-03-09 | w: BOS | L: DET
1961-03-09 | w: GSW | L: NYK
1961-03-09 | w: PHI | L: ATL
1961-03-10 | w: DET | L: GSW
1961-03-11 | w: SAC | L: LAL
1961-03-11 | w: ATL | L: GSW
1961-03-11 | w: BOS | L: PHI
1961-03-12 | w: DET | L: NYK
1961-03-12 | w: LAL | L: SAC
1961-03-12 | w: BOS | L: PHI
============ End of Regular Season ============
1961-03-14 | w: LAL | L: DET
1961-03-14 | w: PHI | L: GSW
1961-03-15 | w: LAL | L: DET
1961-03-16 | w: PHI | L: GSW
1961-03-17 | w: DET | L: LAL
1961-03-18 | w: PHI | L: GSW
1961-03-18 | w: DET | L: LAL
1961-03-19 | w: LAL | L: DET
1961-03-19 | w: BOS | L: PHI
1961-03-21 | w: LAL | L: ATL
1961-03-21 | w: PHI | L: BOS
1961-03-22 | w: ATL | L: LAL
1961-03-23 | w: BOS | L: PHI
1961-03-24 | w: LAL | L: ATL
1961-03-25 | w: BOS | L: PHI
1961-03-25 | w: ATL | L: LAL
1961-03-26 | w: BOS | L: PHI
1961-03-27 | w: LAL | L: ATL
1961-03-29 | w: ATL | L: LAL
1961-04-01 | w: ATL | L: LAL
1961-04-02 | w: BOS | L: ATL
1961-04-05 | w: BOS | L: ATL
1961-04-08 | w: ATL | L: BOS
1961-04-09 | w: BOS | L: ATL
1961-04-11 | w: BOS | L: ATL
============ End of Playoffs ============
