============ Start of Season ============
1948-02-28 | w: BAL | L: NYK
1948-02-28 | w: BOM | L: WAS
1948-02-28 | w: GSW | L: PRO
1948-02-29 | w: BOS | L: BAL
1948-02-29 | w: CHS | L: WAS
1948-03-02 | w: GSW | L: NYK
1948-03-04 | w: GSW | L: BOS
1948-03-04 | w: BAL | L: BOM
1948-03-05 | w: BOS | L: BOM
1948-03-06 | w: NYK | L: WAS
1948-03-06 | w: BAL | L: BOS
1948-03-07 | w: CHS | L: PRO
1948-03-09 | w: CHS | L: GSW
1948-03-09 | w: BOM | L: PRO
1948-03-10 | w: BOM | L: NYK
1948-03-10 | w: CHS | L: WAS
1948-03-11 | w: GSW | L: BOM
1948-03-11 | w: BAL | L: CHS
1948-03-13 | w: BOS | L: PRO
1948-03-13 | w: CHS | L: NYK
1948-03-13 | w: WAS | L: BOM
1948-03-13 | w: BAL | L: GSW
1948-03-16 | w: WAS | L: BOS
1948-03-16 | w: GSW | L: PRO
1948-03-17 | w: WAS | L: PRO
1948-03-18 | w: GSW | L: PRO
1948-03-18 | w: WAS | L: BAL
1948-03-18 | w: BOS | L: CHS
1948-03-18 | w: NYK | L: BOM
1948-03-20 | w: WAS | L: NYK
1948-03-20 | w: BAL | L: PRO
1948-03-20 | w: BOM | L: CHS
1948-03-21 | w: BOM | L: CHS
1948-03-23 | w: CHS | L: WAS
1948-03-25 | w: CHS | L: BAL
============ End of Regular Season ============
1948-03-23 | w: BOM | L: GSW
1948-03-25 | w: GSW | L: BOM
1948-03-27 | w: GSW | L: BOM
1948-03-27 | w: BAL | L: NYK
1948-03-28 | w: CHS | L: BOS
1948-03-28 | w: NYK | L: BAL
1948-03-30 | w: BOM | L: GSW
1948-03-31 | w: BOS | L: CHS
1948-04-01 | w: BOM | L: GSW
1948-04-01 | w: BAL | L: NYK
1948-04-02 | w: CHS | L: BOS
1948-04-03 | w: GSW | L: BOM
1948-04-06 | w: GSW | L: BOM
1948-04-07 | w: BAL | L: CHS
1948-04-08 | w: BAL | L: CHS
1948-04-10 | w: GSW | L: BAL
1948-04-13 | w: BAL | L: GSW
1948-04-15 | w: BAL | L: GSW
1948-04-17 | w: BAL | L: GSW
1948-04-20 | w: GSW | L: BAL
1948-04-21 | w: BAL | L: GSW
============ End of Playoffs ============
