============ Start of Season ============
1958-01-17 | w: GSW | L: NYK
1958-01-17 | w: DET | L: SAC
1958-01-17 | w: LAL | L: ATL
1958-01-18 | w: NYK | L: PHI
1958-01-18 | w: GSW | L: BOS
1958-01-18 | w: ATL | L: DET
1958-01-19 | w: BOS | L: GSW
1958-01-19 | w: LAL | L: DET
1958-01-19 | w: PHI | L: NYK
1958-01-19 | w: ATL | L: SAC
1958-01-22 | w: BOS | L: LAL
1958-01-22 | w: NYK | L: DET
1958-01-22 | w: SAC | L: PHI
1958-01-23 | w: PHI | L: GSW
1958-01-23 | w: LAL | L: DET
1958-01-24 | w: BOS | L: NYK
1958-01-24 | w: GSW | L: SAC
1958-01-25 | w: NYK | L: LAL
1958-01-25 | w: DET | L: ATL
1958-01-25 | w: PHI | L: BOS
1958-01-26 | w: BOS | L: PHI
1958-01-26 | w: NYK | L: LAL
1958-01-26 | w: SAC | L: DET
1958-01-26 | w: GSW | L: ATL
1958-01-27 | w: NYK | L: LAL
1958-01-27 | w: DET | L: GSW
1958-01-28 | w: PHI | L: NYK
1958-01-28 | w: ATL | L: GSW
1958-01-29 | w: BOS | L: ATL
1958-01-30 | w: LAL | L: SAC
1958-01-30 | w: GSW | L: BOS
1958-01-30 | w: DET | L: PHI
1958-01-31 | w: GSW | L: BOS
1958-01-31 | w: DET | L: NYK
1958-01-31 | w: SAC | L: ATL
1958-02-01 | w: BOS | L: NYK
1958-02-01 | w: PHI | L: LAL
1958-02-01 | w: GSW | L: DET
1958-02-01 | w: ATL | L: SAC
1958-02-02 | w: BOS | L: DET
1958-02-02 | w: GSW | L: NYK
1958-02-02 | w: LAL | L: SAC
1958-02-02 | w: PHI | L: ATL
1958-02-04 | w: BOS | L: SAC
1958-02-04 | w: NYK | L: ATL
1958-02-04 | w: GSW | L: LAL
1958-02-04 | w: DET | L: PHI
1958-02-05 | w: BOS | L: SAC
1958-02-05 | w: GSW | L: LAL
1958-02-07 | w: BOS | L: LAL
1958-02-07 | w: SAC | L: GSW
