============ Start of Season ============
1988-11-30 | w: UTH | L: CHI
1988-11-30 | w: HOU | L: DAL
1988-11-30 | w: SAN | L: MIA
1988-11-30 | w: NYK | L: LAC
1988-11-30 | w: PHL | L: POR
1988-12-01 | w: ATL | L: WAS
1988-12-01 | w: CLE | L: MIL
1988-12-01 | w: DEN | L: SAC
1988-12-01 | w: CHH | L: PHL
1988-12-02 | w: LAL | L: UTH
1988-12-02 | w: DET | L: WAS
1988-12-02 | w: OKC | L: LAC
1988-12-02 | w: PHX | L: HOU
1988-12-02 | w: CLE | L: BOS
1988-12-02 | w: DEN | L: GOS
1988-12-02 | w: MIL | L: BKN
1988-12-02 | w: NYK | L: DAL
1988-12-02 | w: POR | L: MIA
1988-12-03 | w: ATL | L: POR
1988-12-03 | w: OKC | L: GOS
1988-12-03 | w: HOU | L: CHH
1988-12-03 | w: UTH | L: SAC
1988-12-03 | w: SAN | L: NYK
1988-12-03 | w: CHI | L: DAL
1988-12-03 | w: PHX | L: LAC
1988-12-03 | w: PHL | L: IND
1988-12-04 | w: CLE | L: DEN
1988-12-04 | w: DET | L: BKN
1988-12-04 | w: LAL | L: WAS
1988-12-06 | w: ATL | L: SAC
1988-12-06 | w: GOS | L: UTH
1988-12-06 | w: HOU | L: CLE
1988-12-06 | w: CHI | L: BOS
1988-12-06 | w: PHX | L: WAS
1988-12-06 | w: MIL | L: DET
1988-12-06 | w: OKC | L: SAN
1988-12-06 | w: LAL | L: LAC
1988-12-06 | w: POR | L: BKN
1988-12-06 | w: NYK | L: DEN
1988-12-07 | w: LAL | L: PHX
1988-12-07 | w: ATL | L: BOS
1988-12-07 | w: DET | L: CHI
1988-12-07 | w: UTH | L: WAS
1988-12-07 | w: IND | L: POR
1988-12-07 | w: DAL | L: OKC
1988-12-07 | w: SAC | L: MIA
1988-12-07 | w: PHL | L: DEN
1988-12-08 | w: NYK | L: MIL
1988-12-08 | w: CLE | L: SAN
1988-12-08 | w: LAC | L: HOU
1988-12-09 | w: DET | L: ATL
1988-12-09 | w: CHI | L: MIL
1988-12-09 | w: PHX | L: GOS
1988-12-09 | w: POR | L: WAS
1988-12-09 | w: DAL | L: UTH
1988-12-09 | w: IND | L: SAC
1988-12-09 | w: CHH | L: BKN
1988-12-09 | w: DEN | L: MIA
1988-12-09 | w: BOS | L: PHL
1988-12-10 | w: DEN | L: ATL
1988-12-10 | w: GOS | L: WAS
1988-12-10 | w: NYK | L: SAC
1988-12-10 | w: HOU | L: OKC
1988-12-10 | w: CHI | L: MIA
1988-12-10 | w: LAL | L: IND
1988-12-10 | w: UTH | L: LAC
1988-12-10 | w: CLE | L: DAL
1988-12-10 | w: BKN | L: CHH
1988-12-10 | w: DET | L: PHL
1988-12-11 | w: MIL | L: LAL
1988-12-11 | w: POR | L: SAN
1988-12-12 | w: UTH | L: MIA
1988-12-13 | w: NYK | L: BKN
1988-12-13 | w: WAS | L: BOS
1988-12-13 | w: OKC | L: PHX
1988-12-13 | w: ATL | L: CHI
1988-12-13 | w: POR | L: LAC
1988-12-13 | w: LAL | L: CLE
1988-12-13 | w: SAC | L: SAN
1988-12-13 | w: IND | L: CHH
1988-12-13 | w: DEN | L: HOU
1988-12-13 | w: DAL | L: GOS
1988-12-13 | w: MIL | L: PHL
1988-12-14 | w: BOS | L: UTH
1988-12-14 | w: MIL | L: DET
1988-12-14 | w: MIA | L: LAC
1988-12-14 | w: BKN | L: LAL
1988-12-14 | w: CHH | L: IND
1988-12-14 | w: ATL | L: PHL
1988-12-15 | w: NYK | L: UTH
1988-12-15 | w: OKC | L: SAN
1988-12-15 | w: CLE | L: DET
1988-12-15 | w: SAC | L: MIA
1988-12-15 | w: HOU | L: GOS
1988-12-16 | w: ATL | L: MIL
1988-12-16 | w: BOS | L: LAL
1988-12-16 | w: CHI | L: IND
1988-12-16 | w: PHX | L: POR
1988-12-16 | w: LAC | L: DEN
1988-12-16 | w: DAL | L: CHH
1988-12-16 | w: PHL | L: BKN
1988-12-17 | w: NYK | L: WAS
1988-12-17 | w: DET | L: CHH
1988-12-17 | w: OKC | L: SAC
1988-12-17 | w: CHI | L: MIL
1988-12-17 | w: POR | L: PHX
1988-12-17 | w: CLE | L: ATL
1988-12-17 | w: GOS | L: SAN
1988-12-17 | w: DEN | L: LAC
1988-12-17 | w: BKN | L: IND
1988-12-17 | w: DAL | L: MIA
1988-12-17 | w: PHL | L: UTH
1988-12-18 | w: BOS | L: NYK
1988-12-18 | w: WAS | L: LAL
1988-12-18 | w: HOU | L: SAN
1988-12-20 | w: ATL | L: OKC
1988-12-20 | w: GOS | L: LAC
1988-12-20 | w: NYK | L: IND
1988-12-20 | w: DET | L: MIA
1988-12-20 | w: HOU | L: SAC
1988-12-20 | w: CHI | L: LAL
1988-12-20 | w: PHX | L: SAN
1988-12-20 | w: MIL | L: CHH
1988-12-20 | w: CLE | L: UTH
1988-12-20 | w: POR | L: DEN
1988-12-20 | w: DAL | L: PHL
1988-12-21 | w: CLE | L: BOS
1988-12-21 | w: UTH | L: WAS
1988-12-21 | w: SAN | L: SAC
1988-12-21 | w: MIL | L: CHH
1988-12-21 | w: OKC | L: MIA
1988-12-21 | w: BKN | L: DAL
1988-12-22 | w: POR | L: GOS
1988-12-22 | w: NYK | L: DET
1988-12-22 | w: HOU | L: LAC
1988-12-22 | w: PHX | L: DEN
1988-12-23 | w: LAL | L: SAC
1988-12-23 | w: ATL | L: IND
1988-12-23 | w: PHX | L: DEN
1988-12-23 | w: MIL | L: DAL
1988-12-23 | w: POR | L: GOS
1988-12-23 | w: LAC | L: SAN
1988-12-23 | w: MIA | L: UTH
1988-12-23 | w: CHH | L: CHI
1988-12-23 | w: CLE | L: OKC
1988-12-25 | w: UTH | L: LAL
1988-12-25 | w: PHL | L: WAS
1988-12-26 | w: PHX | L: LAL
1988-12-26 | w: WAS | L: BKN
1988-12-26 | w: MIA | L: SAN
1988-12-26 | w: HOU | L: CHH
1988-12-27 | w: ATL | L: NYK
1988-12-27 | w: CLE | L: CHI
1988-12-27 | w: MIL | L: IND
1988-12-27 | w: SAC | L: POR
1988-12-27 | w: DEN | L: BOS
1988-12-27 | w: LAC | L: OKC
1988-12-27 | w: DAL | L: SAN
1988-12-27 | w: HOU | L: MIA
1988-12-27 | w: GOS | L: PHL
1988-12-28 | w: DET | L: PHX
1988-12-28 | w: CLE | L: CHH
1988-12-28 | w: UTH | L: SAC
1988-12-28 | w: BKN | L: IND
1988-12-28 | w: LAL | L: PHL
1988-12-29 | w: WAS | L: HOU
1988-12-29 | w: OKC | L: MIA
1988-12-29 | w: CHI | L: NYK
1988-12-29 | w: DAL | L: BOS
1988-12-30 | w: LAL | L: LAC
1988-12-30 | w: DET | L: HOU
1988-12-30 | w: ATL | L: MIL
1988-12-30 | w: CLE | L: WAS
1988-12-30 | w: BOS | L: SAN
1988-12-30 | w: DEN | L: MIA
1988-12-30 | w: CHI | L: IND
1988-12-30 | w: PHX | L: BKN
1988-12-30 | w: CHH | L: NYK
1988-12-30 | w: UTH | L: PHL
1989-01-02 | w: PHX | L: WAS
1989-01-03 | w: ATL | L: DET
1989-01-03 | w: OKC | L: LAL
1989-01-03 | w: HOU | L: UTH
1989-01-03 | w: POR | L: MIA
1989-01-03 | w: CLE | L: IND
1989-01-03 | w: SAC | L: DAL
1989-01-03 | w: SAN | L: DEN
1989-01-03 | w: BKN | L: CHH
1989-01-03 | w: CHI | L: LAC
1989-01-03 | w: NYK | L: BOS
1989-01-04 | w: LAL | L: POR
1989-01-04 | w: PHX | L: BOS
1989-01-04 | w: GOS | L: MIA
1989-01-04 | w: WAS | L: CHH
1989-01-04 | w: MIL | L: LAC
1989-01-04 | w: IND | L: ATL
1989-01-04 | w: NYK | L: BKN
1989-01-05 | w: OKC | L: SAC
1989-01-05 | w: CLE | L: CHI
1989-01-05 | w: DEN | L: GOS
1989-01-05 | w: SAN | L: PHL
1989-01-06 | w: DET | L: ATL
1989-01-06 | w: LAL | L: MIA
1989-01-06 | w: BOS | L: CHH
1989-01-06 | w: UTH | L: CHI
1989-01-06 | w: PHX | L: DAL
1989-01-06 | w: IND | L: LAC
1989-01-06 | w: POR | L: SAC
1989-01-06 | w: MIL | L: WAS
1989-01-07 | w: ATL | L: BKN
1989-01-07 | w: SAN | L: GOS
1989-01-07 | w: OKC | L: POR
1989-01-07 | w: PHX | L: MIA
1989-01-07 | w: MIL | L: UTH
1989-01-07 | w: CLE | L: NYK
1989-01-07 | w: IND | L: DET
1989-01-07 | w: DEN | L: DAL
1989-01-07 | w: CHH | L: WAS
1989-01-07 | w: PHL | L: HOU
1989-01-08 | w: LAL | L: SAN
1989-01-08 | w: NYK | L: LAC
1989-01-09 | w: BOS | L: LAC
1989-01-09 | w: GOS | L: PHX
1989-01-09 | w: OKC | L: CLE
1989-01-09 | w: PHL | L: DAL
1989-01-09 | w: UTH | L: CHH
1989-01-10 | w: CHI | L: ATL
1989-01-10 | w: WAS | L: DEN
1989-01-10 | w: POR | L: OKC
1989-01-10 | w: SAC | L: LAL
1989-01-10 | w: UTH | L: MIA
1989-01-11 | w: IND | L: BOS
1989-01-11 | w: GOS | L: DAL
1989-01-11 | w: NYK | L: DET
1989-01-11 | w: CLE | L: PHX
1989-01-11 | w: MIL | L: DEN
1989-01-11 | w: SAC | L: LAC
1989-01-11 | w: CHI | L: CHH
1989-01-11 | w: HOU | L: SAN
1989-01-11 | w: PHL | L: BKN
1989-01-12 | w: NYK | L: CHH
1989-01-12 | w: WAS | L: MIA
1989-01-12 | w: OKC | L: DAL
1989-01-12 | w: HOU | L: POR
1989-01-12 | w: UTH | L: SAN
1989-01-12 | w: BOS | L: BKN
1989-01-13 | w: LAL | L: CLE
1989-01-13 | w: DET | L: WAS
1989-01-13 | w: PHX | L: SAC
1989-01-13 | w: CHI | L: DEN
1989-01-13 | w: GOS | L: LAC
1989-01-13 | w: MIL | L: MIA
1989-01-13 | w: PHL | L: ATL
1989-01-14 | w: GOS | L: UTH
1989-01-14 | w: NYK | L: ATL
1989-01-14 | w: HOU | L: DAL
1989-01-14 | w: OKC | L: SAC
1989-01-14 | w: POR | L: SAN
1989-01-14 | w: CLE | L: DEN
1989-01-14 | w: BKN | L: IND
1989-01-15 | w: CHI | L: BOS
1989-01-15 | w: MIL | L: DET
1989-01-15 | w: DAL | L: POR
1989-01-15 | w: LAL | L: LAC
1989-01-15 | w: MIA | L: IND
1989-01-15 | w: PHL | L: CHH
1989-01-16 | w: LAL | L: HOU
1989-01-16 | w: GOS | L: OKC
1989-01-16 | w: NYK | L: SAN
1989-01-16 | w: DET | L: BOS
1989-01-16 | w: ATL | L: WAS
1989-01-16 | w: CLE | L: PHX
1989-01-16 | w: DEN | L: SAC
1989-01-16 | w: CHH | L: PHL
1989-01-17 | w: ATL | L: MIL
1989-01-17 | w: OKC | L: LAC
1989-01-17 | w: CHI | L: IND
1989-01-17 | w: UTH | L: POR
1989-01-17 | w: SAC | L: HOU
1989-01-17 | w: BKN | L: SAN
1989-01-18 | w: LAL | L: LAC
1989-01-18 | w: GOS | L: NYK
1989-01-18 | w: DET | L: BKN
1989-01-18 | w: MIL | L: CHH
1989-01-18 | w: PHL | L: BOS
1989-01-18 | w: DAL | L: DEN
1989-01-19 | w: WAS | L: SAN
